,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Major Group,ISCO Minor Code (TR),"Match Score (Exact = 1, Similar = 2) ",Matched to title instead of direct title,He/She is a <occupation>. / O bir <meslek>.,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,
11-2032,11,2032,Public Relations Managers,Communication Manager,1330.01,1,Haberleşme Yönetici,1,,O bir haberleşme yönetici.,O çok iyi bir haberleşme yönetici.,O iyi bir haberleşme yönetici.,O kötü bir haberleşme yönetici.,O çok kötü bir haberleşme yönetici.
11-2032,11,2032,Public Relations Managers,Public Relations Manager,1222.01,1,Halkla ilişkiler Yönetici,1,,O bir halkla ilişkiler yönetici.,O çok iyi bir halkla ilişkiler yönetici.,O iyi bir halkla ilişkiler yönetici.,O kötü bir halkla ilişkiler yönetici.,O çok kötü bir halkla ilişkiler yönetici.
11-2033,11,2033,Fundraising Managers,Foundation Director,1344.04,1,Vakıf Müdürü,1,,O bir vakıf müdürü.,O çok iyi bir vakıf müdürü.,O iyi bir vakıf müdürü.,O kötü bir vakıf müdürü.,O çok kötü bir vakıf müdürü.
11-3012,11,3012,Administrative Services Managers,Business Unit Manager,3341.14,3,Birim Sorumlusu,1,,O bir birim sorumlusu.,O çok iyi bir birim sorumlusu.,O iyi bir birim sorumlusu.,O kötü bir birim sorumlusu.,O çok kötü bir birim sorumlusu.
11-3012,11,3012,Administrative Services Managers,Records and Information Manager,4222.01,4,Kayıt Memuru,2,,O bir kayıt memuru.,O çok iyi bir kayıt memuru.,O iyi bir kayıt memuru.,O kötü bir kayıt memuru.,O çok kötü bir kayıt memuru.
11-3012,11,3012,Administrative Services Managers,,1211.03,1,idari işler Müdürü,1,Y,O bir idari işler müdürü.,O çok iyi bir idari işler müdürü.,O iyi bir idari işler müdürü.,O kötü bir idari işler müdürü.,O çok kötü bir idari işler müdürü.
11-3013,11,3013,Facilities Managers,,1219.07,1,Tesis Yöneticisi,1,Y,O bir tesis yöneticisi.,O çok iyi bir tesis yöneticisi.,O iyi bir tesis yöneticisi.,O kötü bir tesis yöneticisi.,O çok kötü bir tesis yöneticisi.
11-3013,11,3013,Facilities Managers,Stadium Manager,5151.01,5,Stadyum Görevlisi,1,,O bir stadyum görevlisi.,O çok iyi bir stadyum görevlisi.,O iyi bir stadyum görevlisi.,O kötü bir stadyum görevlisi.,O çok kötü bir stadyum görevlisi.
11-3021,11,3021,Computer and Information Systems Managers,Computer Operations Manager,3511.08,3,Sistem işletme Sorumlusu,1,,O bir sistem işletme sorumlusu.,O çok iyi bir sistem işletme sorumlusu.,O iyi bir sistem işletme sorumlusu.,O kötü bir sistem işletme sorumlusu.,O çok kötü bir sistem işletme sorumlusu.
11-3021,11,3021,Computer and Information Systems Managers,,1330.03,1,Bilgi işlem Yönetici,1,Y,O bir bilgi işlem yönetici.,O çok iyi bir bilgi işlem yönetici.,O iyi bir bilgi işlem yönetici.,O kötü bir bilgi işlem yönetici.,O çok kötü bir bilgi işlem yönetici.
11-3021,11,3021,Computer and Information Systems Managers,Information Technology Director,1330.05,1,Bilgi Teknolojileri (BT) Müdürü,1,,O bir bilgi teknolojileri (bt) müdürü.,O çok iyi bir bilgi teknolojileri (bt) müdürü.,O iyi bir bilgi teknolojileri (bt) müdürü.,O kötü bir bilgi teknolojileri (bt) müdürü.,O çok kötü bir bilgi teknolojileri (bt) müdürü.
11-3021,11,3021,Computer and Information Systems Managers,Management Information Systems Director,2511.06,2,Yönetim Bilişim Sistemleri Uzmanı,1,,O bir yönetim bilişim sistemleri uzmanı.,O çok iyi bir yönetim bilişim sistemleri uzmanı.,O iyi bir yönetim bilişim sistemleri uzmanı.,O kötü bir yönetim bilişim sistemleri uzmanı.,O çok kötü bir yönetim bilişim sistemleri uzmanı.
11-3031,11,3031,Financial Managers,Bank Branch Manager,1213.08,1,Şube Müdürü,1,,O bir şube müdürü.,O çok iyi bir şube müdürü.,O iyi bir şube müdürü.,O kötü bir şube müdürü.,O çok kötü bir şube müdürü.
11-3031,11,3031,Financial Managers,Banking Manager,1211.13,1,Banka Müdürü,1,,O bir banka müdürü.,O çok iyi bir banka müdürü.,O iyi bir banka müdürü.,O kötü bir banka müdürü.,O çok kötü bir banka müdürü.
11-3031,11,3031,Financial Managers,City Treasurer,1211.15,1,Hazine Müdürü,2,,O bir hazine müdürü.,O çok iyi bir hazine müdürü.,O iyi bir hazine müdürü.,O kötü bir hazine müdürü.,O çok kötü bir hazine müdürü.
11-3031,11,3031,Financial Managers,Credit Manager,1211.2,1,Kredi Müdürü,1,,O bir kredi müdürü.,O çok iyi bir kredi müdürü.,O iyi bir kredi müdürü.,O kötü bir kredi müdürü.,O çok kötü bir kredi müdürü.
11-3031,11,3031,Financial Managers,Financial Director,1211.21,1,Finans Müdürü,1,,O bir finans müdürü.,O çok iyi bir finans müdürü.,O iyi bir finans müdürü.,O kötü bir finans müdürü.,O çok kötü bir finans müdürü.
11-3031,11,3031,Financial Managers,Financial Officer,2412.02,2,Finansman Sorumlusu,2,,O bir finansman sorumlusu.,O çok iyi bir finansman sorumlusu.,O iyi bir finansman sorumlusu.,O kötü bir finansman sorumlusu.,O çok kötü bir finansman sorumlusu.
11-3031,11,3031,Financial Managers,Fiscal Manager,1211.01,1,Bütçe Müdürü,1,,O bir bütçe müdürü.,O çok iyi bir bütçe müdürü.,O iyi bir bütçe müdürü.,O kötü bir bütçe müdürü.,O çok kötü bir bütçe müdürü.
11-3051,11,3051,Industrial Production Managers,Manufacturing Director,1321.01,1,imalat Sanayi Üretim Müdürü,1,,O bir imalat sanayi üretim müdürü.,O çok iyi bir imalat sanayi üretim müdürü.,O iyi bir imalat sanayi üretim müdürü.,O kötü bir imalat sanayi üretim müdürü.,O çok kötü bir imalat sanayi üretim müdürü.
11-3051,11,3051,Industrial Production Managers,Plant Manager,1321.04,1,Fabrika Müdürü,1,,O bir fabrika müdürü.,O çok iyi bir fabrika müdürü.,O iyi bir fabrika müdürü.,O kötü bir fabrika müdürü.,O çok kötü bir fabrika müdürü.
11-3061,11,3061,Purchasing Managers,Contracting Manager,1323.06,1,Sözleşme Yöneticisi,1,,O bir sözleşme yöneticisi.,O çok iyi bir sözleşme yöneticisi.,O iyi bir sözleşme yöneticisi.,O kötü bir sözleşme yöneticisi.,O çok kötü bir sözleşme yöneticisi.
11-3061,11,3061,Purchasing Managers,Purchasing Director,1324.06,1,Satın Alma müdürü,1,,O bir satın alma müdürü.,O çok iyi bir satın alma müdürü.,O iyi bir satın alma müdürü.,O kötü bir satın alma müdürü.,O çok kötü bir satın alma müdürü.
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Airport Manager,1324.01,1,Liman işletme Müdürü,2,,O bir liman işletme müdürü.,O çok iyi bir liman işletme müdürü.,O iyi bir liman işletme müdürü.,O kötü bir liman işletme müdürü.,O çok kötü bir liman işletme müdürü.
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Cold Storage Supervisor,9333.08,9,Soğuk Hava Depo Görevlisi,2,,O bir soğuk hava depo görevlisi.,O çok iyi bir soğuk hava depo görevlisi.,O iyi bir soğuk hava depo görevlisi.,O kötü bir soğuk hava depo görevlisi.,O çok kötü bir soğuk hava depo görevlisi.
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,1324.07,1,Dağıtım Müdürü,2,,O bir dağıtım müdürü.,O çok iyi bir dağıtım müdürü.,O iyi bir dağıtım müdürü.,O kötü bir dağıtım müdürü.,O çok kötü bir dağıtım müdürü.
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Logistics Manager,1324.14,1,Lojistik Operasyon Yöneticisi,1,,O bir lojistik operasyon yöneticisi.,O çok iyi bir lojistik operasyon yöneticisi.,O iyi bir lojistik operasyon yöneticisi.,O kötü bir lojistik operasyon yöneticisi.,O çok kötü bir lojistik operasyon yöneticisi.
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Transportation Manager,1324.04,1,Ulaşım Yönetici,1,,O bir ulaşım yönetici.,O çok iyi bir ulaşım yönetici.,O iyi bir ulaşım yönetici.,O kötü bir ulaşım yönetici.,O çok kötü bir ulaşım yönetici.
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Warehouse Manager,1324.03,1,Ardiye Yönetici,1,,O bir ardiye yönetici.,O çok iyi bir ardiye yönetici.,O iyi bir ardiye yönetici.,O kötü bir ardiye yönetici.,O çok kötü bir ardiye yönetici.
11-3111,11,3111,Compensation and Benefits Managers,Wage and Salary Administrator,2423.15,2,Ücret Ve Yan Haklar Uzmanı,2,,O bir ücret ve yan haklar uzmanı.,O çok iyi bir ücret ve yan haklar uzmanı.,O iyi bir ücret ve yan haklar uzmanı.,O kötü bir ücret ve yan haklar uzmanı.,O çok kötü bir ücret ve yan haklar uzmanı.
11-3121,11,3121,Human Resources Managers,Personnel Manager,1212.02,1,Personel işleri Yönetici,2,,O bir personel işleri yönetici.,O çok iyi bir personel işleri yönetici.,O iyi bir personel işleri yönetici.,O kötü bir personel işleri yönetici.,O çok kötü bir personel işleri yönetici.
11-3121,11,3121,Human Resources Managers,,1212.03,1,insan Kaynakları Müdürü,1,Y,O bir insan kaynakları müdürü.,O çok iyi bir insan kaynakları müdürü.,O iyi bir insan kaynakları müdürü.,O kötü bir insan kaynakları müdürü.,O çok kötü bir insan kaynakları müdürü.
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Animal Husbandry Manager,1311.01,1,Hayvancılık işletme Yöneticisi,1,,O bir hayvancılık işletme yöneticisi.,O çok iyi bir hayvancılık işletme yöneticisi.,O iyi bir hayvancılık işletme yöneticisi.,O kötü bir hayvancılık işletme yöneticisi.,O çok kötü bir hayvancılık işletme yöneticisi.
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",,1311.02,1,Çiftlik Yöneticisi,1,Y,O bir çiftlik yöneticisi.,O çok iyi bir çiftlik yöneticisi.,O iyi bir çiftlik yöneticisi.,O kötü bir çiftlik yöneticisi.,O çok kötü bir çiftlik yöneticisi.
11-9021,11,9021,Construction Managers,Construction Coordinator,1120.36,1,inşaat Koordinatör,1,,O bir inşaat koordinatör.,O çok iyi bir inşaat koordinatör.,O iyi bir inşaat koordinatör.,O kötü bir inşaat koordinatör.,O çok kötü bir inşaat koordinatör.
11-9021,11,9021,Construction Managers,Construction Superintendent,3123.06,3,inşaat Şantiye Şefi,2,,O bir inşaat şantiye şefi.,O çok iyi bir inşaat şantiye şefi.,O iyi bir inşaat şantiye şefi.,O kötü bir inşaat şantiye şefi.,O çok kötü bir inşaat şantiye şefi.
11-9021,11,9021,Construction Managers,General Contractor,1323.03,1,Müteahhit,1,,O bir müteahhit.,O çok iyi bir müteahhit.,O iyi bir müteahhit.,O kötü bir müteahhit.,O çok kötü bir müteahhit.
11-9021,11,9021,Construction Managers,Masonry Contractor Administrator,3112.43,3,Beton Tesis Şefi,2,,O bir beton tesis şefi.,O çok iyi bir beton tesis şefi.,O iyi bir beton tesis şefi.,O kötü bir beton tesis şefi.,O çok kötü bir beton tesis şefi.
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Director,1341.01,1,Çocuk Bakım Hizmet Müdürü,2,,O bir çocuk bakım hizmet müdürü.,O çok iyi bir çocuk bakım hizmet müdürü.,O iyi bir çocuk bakım hizmet müdürü.,O kötü bir çocuk bakım hizmet müdürü.,O çok kötü bir çocuk bakım hizmet müdürü.
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",,1345.04,1,Anaokulu Müdür,2,,O bir anaokulu müdür.,O çok iyi bir anaokulu müdür.,O iyi bir anaokulu müdür.,O kötü bir anaokulu müdür.,O çok kötü bir anaokulu müdür.
11-9032,11,9032,"Education Administrators, Kindergarten through Secondary",K-12 School Principal,1345.02,1,Okul Müdürü,1,,O bir okul müdürü.,O çok iyi bir okul müdürü.,O iyi bir okul müdürü.,O kötü bir okul müdürü.,O çok kötü bir okul müdürü.
11-9033,11,9033,"Education Administrators, Postsecondary",,1345.06,1,Eğitim Yöneticisi,2,Y,O bir eğitim yöneticisi.,O çok iyi bir eğitim yöneticisi.,O iyi bir eğitim yöneticisi.,O kötü bir eğitim yöneticisi.,O çok kötü bir eğitim yöneticisi.
11-9033,11,9033,"Education Administrators, Postsecondary",University Dean,1345.01,1,Dekan,1,,O bir dekan.,O çok iyi bir dekan.,O iyi bir dekan.,O kötü bir dekan.,O çok kötü bir dekan.
11-9051,11,9051,Food Service Managers,Food and Beverage Manager,1412.07,1,Yiyecek içecek Müdürü,1,,O bir yiyecek içecek müdürü.,O çok iyi bir yiyecek içecek müdürü.,O iyi bir yiyecek içecek müdürü.,O kötü bir yiyecek içecek müdürü.,O çok kötü bir yiyecek içecek müdürü.
11-9051,11,9051,Food Service Managers,Restaurant General Manager,1120.1,1,Lokanta Genel Müdür,1,,O bir lokanta genel müdür.,O çok iyi bir lokanta genel müdür.,O iyi bir lokanta genel müdür.,O kötü bir lokanta genel müdür.,O çok kötü bir lokanta genel müdür.
11-9051,11,9051,Food Service Managers,Tavern Operator,1412.04,1,"Kafe, Bar Ve Snack Bar işletmecisi",2,,"O bir kafe, bar ve snack bar işletmecisi.","O çok iyi bir kafe, bar ve snack bar işletmecisi.","O iyi bir kafe, bar ve snack bar işletmecisi.","O kötü bir kafe, bar ve snack bar işletmecisi.","O çok kötü bir kafe, bar ve snack bar işletmecisi."
11-9072,11,9072,"Entertainment and Recreation Managers, Except Gambling",Fitness Club Manager,1431.04,1,Spor Tesisi Yöneticisi,2,,O bir spor tesisi yöneticisi.,O çok iyi bir spor tesisi yöneticisi.,O iyi bir spor tesisi yöneticisi.,O kötü bir spor tesisi yöneticisi.,O çok kötü bir spor tesisi yöneticisi.
11-9081,11,9081,Lodging Managers,Boardinghouse Keeper,1411.01,1,Pansiyon işletmecisi,1,,O bir pansiyon işletmecisi.,O çok iyi bir pansiyon işletmecisi.,O iyi bir pansiyon işletmecisi.,O kötü bir pansiyon işletmecisi.,O çok kötü bir pansiyon işletmecisi.
11-9081,11,9081,Lodging Managers,Hotel Manager,1411.08,1,Otel Müdürü,1,,O bir otel müdürü.,O çok iyi bir otel müdürü.,O iyi bir otel müdürü.,O kötü bir otel müdürü.,O çok kötü bir otel müdürü.
11-9081,11,9081,Lodging Managers,Lodging Facilities Manager,1411.05,1,Konaklama Hizmetleri Yöneticileri,2,,O bir konaklama hizmetleri yöneticileri.,O çok iyi bir konaklama hizmetleri yöneticileri.,O iyi bir konaklama hizmetleri yöneticileri.,O kötü bir konaklama hizmetleri yöneticileri.,O çok kötü bir konaklama hizmetleri yöneticileri.
11-9111,11,9111,Medical and Health Services Managers,Healthcare Administrator,1342.01,1,Sağlık Kurumu işletmecisi,2,,O bir sağlık kurumu işletmecisi.,O çok iyi bir sağlık kurumu işletmecisi.,O iyi bir sağlık kurumu işletmecisi.,O kötü bir sağlık kurumu işletmecisi.,O çok kötü bir sağlık kurumu işletmecisi.
11-9111,11,9111,Medical and Health Services Managers,Healthcare Manager,1342.03,1,Sağlık Yöneticisi,1,,O bir sağlık yöneticisi.,O çok iyi bir sağlık yöneticisi.,O iyi bir sağlık yöneticisi.,O kötü bir sağlık yöneticisi.,O çok kötü bir sağlık yöneticisi.
11-9111,11,9111,Medical and Health Services Managers,Hospice Director,1343.02,1,Hasta Bakımevi Müdürü,2,,O bir hasta bakımevi müdürü.,O çok iyi bir hasta bakımevi müdürü.,O iyi bir hasta bakımevi müdürü.,O kötü bir hasta bakımevi müdürü.,O çok kötü bir hasta bakımevi müdürü.
11-9111,11,9111,Medical and Health Services Managers,Medical Director,1120.41,1,Tıbbi Direktör,1,,O bir tıbbi direktör.,O çok iyi bir tıbbi direktör.,O iyi bir tıbbi direktör.,O kötü bir tıbbi direktör.,O çok kötü bir tıbbi direktör.
11-9111,11,9111,Medical and Health Services Managers,Medical Records Administrator,3252.04,3,Tıbbi Kayıt Süpervizörü,2,,O bir tıbbi kayıt süpervizörü.,O çok iyi bir tıbbi kayıt süpervizörü.,O iyi bir tıbbi kayıt süpervizörü.,O kötü bir tıbbi kayıt süpervizörü.,O çok kötü bir tıbbi kayıt süpervizörü.
11-9111,11,9111,Medical and Health Services Managers,Nursing Home Manager,1343.04,1,Huzurevi Müdürü,1,,O bir huzurevi müdürü.,O çok iyi bir huzurevi müdürü.,O iyi bir huzurevi müdürü.,O kötü bir huzurevi müdürü.,O çok kötü bir huzurevi müdürü.
11-9111,11,9111,Medical and Health Services Managers,Nursing Service Director,1343.05,1,Yaşlı Bakım Hizmetleri Müdürü,1,,O bir yaşlı bakım hizmetleri müdürü.,O çok iyi bir yaşlı bakım hizmetleri müdürü.,O iyi bir yaşlı bakım hizmetleri müdürü.,O kötü bir yaşlı bakım hizmetleri müdürü.,O çok kötü bir yaşlı bakım hizmetleri müdürü.
11-9131,11,9131,Postmasters and Mail Superintendents,Postal Supervisor,4412.06,4,Posta Servis Nezaretçisi,1,,O bir posta servis nezaretçisi.,O çok iyi bir posta servis nezaretçisi.,O iyi bir posta servis nezaretçisi.,O kötü bir posta servis nezaretçisi.,O çok kötü bir posta servis nezaretçisi.
11-9131,11,9131,Postmasters and Mail Superintendents,Postmaster,4412.01,4,Posta Şefi,1,,O bir posta şefi.,O çok iyi bir posta şefi.,O iyi bir posta şefi.,O kötü bir posta şefi.,O çok kötü bir posta şefi.
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Apartment Manager,5153.02,5,Apartman idarecisi,1,,O bir apartman idarecisi.,O çok iyi bir apartman idarecisi.,O iyi bir apartman idarecisi.,O kötü bir apartman idarecisi.,O çok kötü bir apartman idarecisi.
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Real Estate Manager,1221.04,1,Gayrimenkul işleri Yönetici,1,,O bir gayrimenkul işleri yönetici.,O çok iyi bir gayrimenkul işleri yönetici.,O iyi bir gayrimenkul işleri yönetici.,O kötü bir gayrimenkul işleri yönetici.,O çok kötü bir gayrimenkul işleri yönetici.
11-9151,11,9151,Social and Community Service Managers,Family Service Center Director,1344.01,1,Aile Hizmetleri Müdürü,1,,O bir aile hizmetleri müdürü.,O çok iyi bir aile hizmetleri müdürü.,O iyi bir aile hizmetleri müdürü.,O kötü bir aile hizmetleri müdürü.,O çok kötü bir aile hizmetleri müdürü.
11-9151,11,9151,Social and Community Service Managers,Social Service Director,1344.03,1,Sosyal Yardım Müdürü,1,,O bir sosyal yardım müdürü.,O çok iyi bir sosyal yardım müdürü.,O iyi bir sosyal yardım müdürü.,O kötü bir sosyal yardım müdürü.,O çok kötü bir sosyal yardım müdürü.
11-9151,11,9151,Social and Community Service Managers,Youth Program Director,3422.53,3,Gençlik ve Spor Uzmanı,2,,O bir gençlik ve spor uzmanı.,O çok iyi bir gençlik ve spor uzmanı.,O iyi bir gençlik ve spor uzmanı.,O kötü bir gençlik ve spor uzmanı.,O çok kötü bir gençlik ve spor uzmanı.
11-9161,11,9161,Emergency Management Directors,Director of Civil Defense,5419.08,5,Sivil Savunma Amiri,1,,O bir sivil savunma amiri.,O çok iyi bir sivil savunma amiri.,O iyi bir sivil savunma amiri.,O kötü bir sivil savunma amiri.,O çok kötü bir sivil savunma amiri.
11-9161,11,9161,Emergency Management Directors,Disaster Response Director,1112.3,1,Afet ve Acil Durum Yönetimi Başkanı,2,,O bir afet ve acil durum yönetimi başkanı.,O çok iyi bir afet ve acil durum yönetimi başkanı.,O iyi bir afet ve acil durum yönetimi başkanı.,O kötü bir afet ve acil durum yönetimi başkanı.,O çok kötü bir afet ve acil durum yönetimi başkanı.
11-9161,11,9161,Emergency Management Directors,,3259.08,3,Acil Yardım ve Afet Yöneticisi,1,Y,O bir acil yardım ve afet yöneticisi.,O çok iyi bir acil yardım ve afet yöneticisi.,O iyi bir acil yardım ve afet yöneticisi.,O kötü bir acil yardım ve afet yöneticisi.,O çok kötü bir acil yardım ve afet yöneticisi.
11-9179,11,9179,"Personal Service Managers, All Other",Day Spa Director,1213.15,1,SPA Merkezi Müdürü,1,,O bir spa merkezi müdürü.,O çok iyi bir spa merkezi müdürü.,O iyi bir spa merkezi müdürü.,O kötü bir spa merkezi müdürü.,O çok kötü bir spa merkezi müdürü.
13-1023,13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,3323.03,3,Satın Alma Görevlisi,1,Y,O bir satın alma görevlisi.,O çok iyi bir satın alma görevlisi.,O iyi bir satın alma görevlisi.,O kötü bir satın alma görevlisi.,O çok kötü bir satın alma görevlisi.
13-1032,13,1032,"Insurance Appraisers, Auto Damage",Auto Damage Insurance Appraiser,3315.04,3,Motorlu Kara Taşıtları Sigorta Eksperi,1,,O bir motorlu kara taşıtları sigorta eksperi.,O çok iyi bir motorlu kara taşıtları sigorta eksperi.,O iyi bir motorlu kara taşıtları sigorta eksperi.,O kötü bir motorlu kara taşıtları sigorta eksperi.,O çok kötü bir motorlu kara taşıtları sigorta eksperi.
13-1041,13,1041,Compliance Officers,License Inspector,3354.01,3,Ruhsat  Memuru,2,,O bir ruhsat memuru.,O çok iyi bir ruhsat memuru.,O iyi bir ruhsat memuru.,O kötü bir ruhsat memuru.,O çok kötü bir ruhsat memuru.
13-1071,13,1071,Human Resources Specialists,Corporate Recruiter,2423.19,2,işe Alım Uzmanı,1,,O bir işe alım uzmanı.,O çok iyi bir işe alım uzmanı.,O iyi bir işe alım uzmanı.,O kötü bir işe alım uzmanı.,O çok kötü bir işe alım uzmanı.
13-1071,13,1071,Human Resources Specialists,Employee Placement Specialist,2423.02,2,istihdam Uzmanı,1,,O bir istihdam uzmanı.,O çok iyi bir istihdam uzmanı.,O iyi bir istihdam uzmanı.,O kötü bir istihdam uzmanı.,O çok kötü bir istihdam uzmanı.
13-1071,13,1071,Human Resources Specialists,Human Resources Generalist,4416.02,4,insan Kaynakları Yönetimi Meslek Elemanı,2,,O bir insan kaynakları yönetimi meslek elemanı.,O çok iyi bir insan kaynakları yönetimi meslek elemanı.,O iyi bir insan kaynakları yönetimi meslek elemanı.,O kötü bir insan kaynakları yönetimi meslek elemanı.,O çok kötü bir insan kaynakları yönetimi meslek elemanı.
13-1071,13,1071,Human Resources Specialists,Personnel Specialist,2423.1,2,Personel Uzmanı,1,,O bir personel uzmanı.,O çok iyi bir personel uzmanı.,O iyi bir personel uzmanı.,O kötü bir personel uzmanı.,O çok kötü bir personel uzmanı.
13-1071,13,1071,Human Resources Specialists,,2423.01,2,insan Kaynakları Uzmanı,1,Y,O bir insan kaynakları uzmanı.,O çok iyi bir insan kaynakları uzmanı.,O iyi bir insan kaynakları uzmanı.,O kötü bir insan kaynakları uzmanı.,O çok kötü bir insan kaynakları uzmanı.
13-1075,13,1075,Labor Relations Specialists,Industrial Relations Specialist,2423.09,2,Endüstri ilişkileri Uzmanı,1,,O bir endüstri ilişkileri uzmanı.,O çok iyi bir endüstri ilişkileri uzmanı.,O iyi bir endüstri ilişkileri uzmanı.,O kötü bir endüstri ilişkileri uzmanı.,O çok kötü bir endüstri ilişkileri uzmanı.
13-1075,13,1075,Labor Relations Specialists,Union Representative,1114.17,1,işyeri Sendika Temsilcisi,1,,O bir işyeri sendika temsilcisi.,O çok iyi bir işyeri sendika temsilcisi.,O iyi bir işyeri sendika temsilcisi.,O kötü bir işyeri sendika temsilcisi.,O çok kötü bir işyeri sendika temsilcisi.
13-1081,13,1081,Logisticians,Logistician,4321.25,4,Lojistik Elemanı,1,,O bir lojistik elemanı.,O çok iyi bir lojistik elemanı.,O iyi bir lojistik elemanı.,O kötü bir lojistik elemanı.,O çok kötü bir lojistik elemanı.
