2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
11-2011,11,2011,Advertising and Promotions Managers,Advertising Manager,1,Reklam Yönetici,He's an advertising executive.,He's a very good advertising executive.,He's a good advertising executive.,He's a bad advertising executive.,He's a terrible advertising executive.,he,he,he,he,he
11-2021,11,2021,Marketing Managers,Marketing Manager,1,Pazarlama Müdürü,He's a marketing manager.,He's a very good marketing manager.,He's a good marketing manager.,He's a bad marketing manager.,He's a terrible marketing manager.,he,he,he,he,he
11-2022,11,2022,Sales Managers,Export Manager,1,ithalat-ihracat Müdürü,He's an import-export manager.,He's a very good import-export manager.,He's a good import-export manager.,He's a bad import-export manager.,He's a terrible import-export manager.,he,he,he,he,he
11-2022,11,2022,Sales Managers,Sales Manager,1,Satış Müdürü,He's a sales manager.,He's a very good sales manager.,He's a good sales manager.,He's a bad sales manager.,He's a terrible sales manager.,he,he,he,he,he
11-2032,11,2032,Public Relations Managers,Communication Manager,1,Haberleşme Yönetici,He's a communications executive.,He's a very good communications executive.,He's a good communications executive.,He's a bad communications executive.,He's a terrible communications executive.,he,he,he,he,he
11-2032,11,2032,Public Relations Managers,Public Relations Manager,1,Halkla ilişkiler Yönetici,He's a PUBLIC RELATIONS executive.,He's a very good PR executive.,He's a good PR executive.,He's a bad PR executive.,He's a terrible PR executive.,he,he,he,he,he
11-2033,11,2033,Fundraising Managers,Foundation Director,1,Vakıf Müdürü,He's a foundation director.,He's a very good foundation director.,He's a good foundation director.,He's a bad foundation director.,He's a terrible foundation director.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Business Unit Manager,3,Birim Sorumlusu,He's a unit manager.,He's a very good unit manager.,He's a good unit manager.,He's a bad unit manager.,He's a very bad unit manager.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Records and Information Manager,4,Kayıt Memuru,He's a registrar.,He's a very good registrar.,He's a good registrar.,He's a bad registrar.,He's a terrible registrar.,he,he,he,he,he
11-3012,11,3012,Administrative Services Managers,Administrative Services Manager,1,idari işler Müdürü,He's an administrative director.,He's a very good managing director.,He's a good chief executive.,He's a bad administrative director.,He's a terrible executive director.,he,he,he,he,he
11-3013,11,3013,Facilities Managers,Facility Manager,1,Tesis Yöneticisi,He's a facility manager.,He's a very good facility manager.,He's a good facility manager.,He's a bad facility manager.,He's a terrible facility manager.,he,he,he,he,he
11-3013,11,3013,Facilities Managers,Stadium Manager,5,Stadyum Görevlisi,He's a stadium attendant.,He's a very good stadium attendant.,He's a good stadium attendant.,He's a bad stadium attendant.,He's a terrible stadium attendant.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Computer Operations Manager,3,Sistem işletme Sorumlusu,He's a system operator.,He's a very good system operator.,He's a good system operator.,He's a bad system operator.,He's a very bad system operator.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Information Systems Manager,1,Bilgi işlem Yönetici,He's an IT manager.,He's a very good IT manager.,He's a good it manager.,He's a bad IT manager.,He's a terrible IT manager.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Information Technology Director,1,Bilgi Teknolojileri (BT) Müdürü,He's an information technology (IT) manager.,He's a very good information technology (IT) manager.,He's a good information technology (IT) manager.,He's a bad information technology (IT) manager.,He's a very bad information technology (IT) manager.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Management Information Systems Director,2,Yönetim Bilişim Sistemleri Uzmanı,He's an expert in management information systems.,He's a very good management information systems expert.,He's a good management information systems expert.,He's a bad management information systems expert.,He's a very poor management information systems expert.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Bank Branch Manager,1,Şube Müdürü,He's a branch manager.,He's a very good branch manager.,He's a good branch manager.,He's a bad branch manager.,He's a terrible branch manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Banking Manager,1,Banka Müdürü,He's a bank manager.,He's a very good bank manager.,He's a good bank manager.,He's a bad bank manager.,He's a terrible bank manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,City Treasurer,1,Hazine Müdürü,He's a treasurer.,He's a very good treasurer.,He's a good treasurer.,He's a bad treasurer.,He's a terrible treasurer.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Credit Manager,1,Kredi Müdürü,He's a credit manager.,He's a very good credit manager.,He's a good loan manager.,He's a bad loan manager.,He's a terrible loan manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Financial Director,1,Finans Müdürü,He's a finance manager.,He's a very good chief financial officer.,He's a good chief financial officer.,He's a bad finance manager.,He's a terrible finance director.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Financial Officer,2,Finansman Sorumlusu,He's a finance officer.,He's a very good finance officer.,He's a good finance officer.,He's a bad finance officer.,He's a terrible funder.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Fiscal Manager,1,Bütçe Müdürü,He's a budget manager.,He's a very good budget manager.,He's a good budget manager.,He's a bad budget manager.,He's a terrible budget manager.,he,he,he,he,he
11-3051,11,3051,Industrial Production Managers,Manufacturing Director,1,imalat Sanayi Üretim Müdürü,He's a manufacturing industry production manager.,He's a very good manufacturing industry production manager.,He's a good manufacturing industry production manager.,He's a bad manufacturing industry production manager.,He's a very bad manufacturing industry production manager.,he,he,he,he,he
11-3051,11,3051,Industrial Production Managers,Plant Manager,1,Fabrika Müdürü,He's a factory manager.,He's a very good factory manager.,He's a good factory manager.,He's a bad factory manager.,He's a terrible factory manager.,he,he,he,he,he
11-3061,11,3061,Purchasing Managers,Contracting Manager,1,Sözleşme Yöneticisi,He's a contract manager.,He's a very good contract manager.,He's a good contract manager.,He's a bad contract manager.,He's a terrible contract manager.,he,he,he,he,he
11-3061,11,3061,Purchasing Managers,Purchasing Director,1,Satın Alma müdürü,He's a purchasing manager.,He's a very good purchasing manager.,He's a good purchasing manager.,He's a bad purchasing manager.,He's a terrible purchasing manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Airport Manager,1,Liman işletme Müdürü,He's a port business manager.,He's a very good port business manager.,He's a good port manager.,He's a bad port manager.,He's a terrible port manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Cold Storage Supervisor,9,Soğuk Hava Depo Görevlisi,He's a cold storage officer.,He's a very good cold storage officer.,He's a good cold storage officer.,He's a bad cold storage officer.,He's a terrible cold storage officer.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,1,Dağıtım Müdürü,He's a distribution manager.,He's a very good distribution manager.,He's a good distribution manager.,He's a bad distribution manager.,He's a terrible distribution manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Logistics Manager,1,Lojistik Operasyon Yöneticisi,He's a logistics operations manager.,He's a very good logistics operations manager.,He's a good logistics operations manager.,He's a bad logistics operations manager.,He's a terrible logistics operations manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Transportation Manager,1,Ulaşım Yönetici,He's a transportation executive.,He's a very good transportation executive.,He's a good transportation executive.,He's a bad transportation executive.,He's a terrible transportation executive.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Warehouse Manager,1,Ardiye Yönetici,He's a chief executive.,He's a very good manager.,He's a good manager.,He's a bad manager.,He's a terrible manager.,he,he,he,he,he
11-3111,11,3111,Compensation and Benefits Managers,Wage and Salary Administrator,2,Ücret Ve Yan Haklar Uzmanı,He's a wage and benefits expert.,He's a very good wage and benefits expert.,He's a good wage and benefits expert.,He's a bad wage and benefits expert.,He's a terrible wage and benefits expert.,he,he,he,he,he
11-3121,11,3121,Human Resources Managers,Personnel Manager,1,Personel işleri Yönetici,He's a personnel manager.,He's a very good staff manager.,He's a good staff manager.,He's a bad personnel manager.,He's a very bad staff manager.,he,he,he,he,he
11-3121,11,3121,Human Resources Managers,Human Resources Manager,1,insan Kaynakları Müdürü,He's a human resources manager.,He's a very good human resources manager.,He's a good human resources manager.,He's a bad human resources manager.,He's a terrible human resources manager.,he,he,he,he,he
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Animal Husbandry Manager,1,Hayvancılık işletme Yöneticisi,He's a livestock business manager.,He's a very good livestock business manager.,He's a good livestock business manager.,He's a bad livestock business manager.,He's a very bad livestock business manager.,he,he,he,he,he
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Farm Manager,1,Çiftlik Yöneticisi,He's a farm manager.,He's a very good farm manager.,He's a good farm manager.,He's a bad farm manager.,He's a terrible farm manager.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Construction Coordinator,1,inşaat Koordinatör,He's a construction coordinator.,He's a very good construction coordinator.,He's a good construction coordinator.,He's a bad construction coordinator.,He's a terrible construction coordinator.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Construction Superintendent,3,inşaat Şantiye Şefi,He's a construction site chief.,He's a very good construction site chief.,He's a good construction site chief.,He's a bad construction site chief.,He's a terrible construction site chief.,he,he,he,he,he
11-9021,11,9021,Construction Managers,General Contractor,1,Müteahhit,He's a contractor.,He's a very good contractor.,He's a good contractor.,He's a bad contractor.,He's a terrible contractor.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Masonry Contractor Administrator,3,Beton Tesis Şefi,He's a concrete plant chief.,He's a very good concrete plant chief.,He's a good concrete plant chief.,He's a bad concrete plant chief.,He's a terrible concrete plant chief.,he,he,he,he,he
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Director,1,Çocuk Bakım Hizmet Müdürü,He's a childcare manager.,He's a very good childcare manager.,He's a good childcare manager.,He's a bad childcare manager.,He's a terrible childcare manager.,he,he,he,he,he
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",,1,Anaokulu Müdür,He's a kindergarten principal.,He's a very good kindergarten principal.,He's a good kindergarten principal.,He's a bad kindergarten principal.,He's a terrible kindergarten principal.,he,he,he,he,he
11-9032,11,9032,"Education Administrators, Kindergarten through Secondary",K-12 School Principal,1,Okul Müdürü,He's a principal.,He's a very good headmaster.,He's a good headmaster.,He's a bad headmaster.,He's a terrible headmaster.,he,he,he,he,he
11-9033,11,9033,"Education Administrators, Postsecondary",Education Administrator,1,Eğitim Yöneticisi,He's an education manager.,He's a very good education manager.,He's a good education manager.,He's a bad education manager.,He's a terrible education manager.,he,he,he,he,he
11-9033,11,9033,"Education Administrators, Postsecondary",University Dean,1,Dekan,He's a dean.,He's a very good dean.,He's a good dean.,He's a bad dean.,He's a terrible dean.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Food and Beverage Manager,1,Yiyecek içecek Müdürü,He's a food and beverage manager.,He's a very good food and beverage manager.,He's a good food and drink manager.,He's a bad food and drink manager.,He's a terrible food and drink manager.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Restaurant General Manager,1,Lokanta Genel Müdür,He's the general manager of a restaurant.,He's a very good restaurant general manager.,He's a good restaurant general manager.,He's a bad restaurant general manager.,He's a terrible restaurant general manager.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Tavern Operator,1,"Kafe, Bar Ve Snack Bar işletmecisi","He runs a café, bar and snack bar.","He is a very good café, bar and snack bar operator.","He runs a good café, bar and snack bar.","He's a bad café, bar and snack bar operator.","He's a terrible café, bar and snack bar operator.",he,he,he,he,he
11-9072,11,9072,"Entertainment and Recreation Managers, Except Gambling",Fitness Club Manager,1,Spor Tesisi Yöneticisi,He's a sports facility manager.,He's a very good sports facility manager.,He's a good sports facility manager.,He's a bad sports facility manager.,He's a terrible sports facility manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Boardinghouse Keeper,1,Pansiyon işletmecisi,He's a boarding house manager.,He's a very good boarding house manager.,He's a good boarding house manager.,He's a bad boarding house manager.,He's a terrible boarding house manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Hotel Manager,1,Otel Müdürü,He's a hotel manager.,He's a very good hotel manager.,He's a good hotel manager.,He's a bad hotel manager.,He's a terrible hotel manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Lodging Facilities Manager,1,Konaklama Hizmetleri Yöneticileri,He's an accommodation services manager.,He is a very good accommodation services manager.,He is a good accommodation services manager.,He's a bad hospitality manager.,He's a very bad accommodation services manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Healthcare Administrator,1,Sağlık Kurumu işletmecisi,He's a health care operator.,He's a very good health care operator.,He's a good health care operator.,He's a bad health care operator.,He's a terrible health care operator.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Healthcare Manager,1,Sağlık Yöneticisi,He's a health administrator.,He's a very good health administrator.,He's a good health administrator.,He's a bad health administrator.,He's a terrible health administrator.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Hospice Director,1,Hasta Bakımevi Müdürü,He's a nursing home manager.,He's a very good nursing home manager.,He's a good nursing home manager.,He's a bad nursing home manager.,He's a terrible nursing home manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Medical Director,1,Tıbbi Direktör,He's a medical director.,He's a very good medical director.,He's a good medical director.,He's a bad medical director.,He's a terrible medical director.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Medical Records Administrator,3,Tıbbi Kayıt Süpervizörü,He's a medical records supervisor.,He's a very good medical records supervisor.,He's a good medical records supervisor.,He's a bad medical records supervisor.,He's a terrible medical records supervisor.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Nursing Home Manager,1,Huzurevi Müdürü,He's a nursing home manager.,He's a very good nursing home manager.,He's a good nursing home manager.,He's a bad nursing home manager.,He's a terrible nursing home manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Nursing Service Director,1,Yaşlı Bakım Hizmetleri Müdürü,He's an aged care services manager.,He's a very good elderly care manager.,He's a good elderly care manager.,He's a bad old care manager.,He's a terrible elderly care manager.,he,he,he,he,he
11-9131,11,9131,Postmasters and Mail Superintendents,Postal Supervisor,4,Posta Servis Nezaretçisi,He's a postal service supervisor.,He's a very good postal service supervisor.,He's a good postal service supervisor.,He's a bad postal service supervisor.,He's a terrible postal service supervisor.,he,he,he,he,he
11-9131,11,9131,Postmasters and Mail Superintendents,Postmaster,4,Posta Şefi,He's a postmaster.,He's a very good postmaster.,He's a good postmaster.,He's a bad postmaster.,He's a terrible postmaster.,he,he,he,he,he
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Apartment Manager,5,Apartman idarecisi,He's an apartment manager.,He's a very good apartment manager.,He's a good apartment manager.,He's a bad apartment manager.,He's a terrible apartment manager.,he,he,he,he,he
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Real Estate Manager,1,Gayrimenkul işleri Yönetici,He's a real estate manager.,He's a very good real estate executive.,He's a good real estate manager.,He's a bad real estate executive.,He's a terrible real estate executive.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Family Service Center Director,1,Aile Hizmetleri Müdürü,He's a family services manager.,He's a very good family services manager.,He's a good family services manager.,He's a bad family services manager.,He's a terrible family services manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Social Service Director,1,Sosyal Yardım Müdürü,He's a welfare manager.,He's a very good welfare manager.,He's a good welfare manager.,He's a bad welfare manager.,He's a terrible welfare manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Youth Program Director,3,Gençlik ve Spor Uzmanı,He's a youth and sports expert.,He's a very good youth and sports expert.,He's a good youth and sports expert.,He's a bad youth and sports expert.,He's a terrible youth and sports expert.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Director of Civil Defense,5,Sivil Savunma Amiri,He's a civil defense officer.,He's a very good civilian defense chief.,He's a good civil defense officer.,He's a bad civilian defense chief.,He's a very bad civilian defense chief.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Disaster Response Director,1,Afet ve Acil Durum Yönetimi Başkanı,He's the head of disaster and emergency management.,He's a very good head of disaster and emergency management.,He's a good head of disaster and emergency management.,He's the head of disaster and emergency management.,He's the head of disaster and emergency management.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Emergency Management Director,3,Acil Yardım ve Afet Yöneticisi,He's an emergency responder and disaster manager.,He's a very good emergency relief and disaster manager.,He's a good emergency relief and disaster manager.,He's a bad emergency and disaster manager.,He's a terrible emergency and disaster manager.,he,he,he,he,he
11-9179,11,9179,"Personal Service Managers, All Other",Day Spa Director,1,SPA Merkezi Müdürü,He's the director of a spa center.,He's a very good spa manager.,He's a good spa manager.,He's a bad spa manager.,He's a terrible spa manager.,he,he,he,he,he
13-1023,13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Agent,3,Satın Alma Görevlisi,He's a purchasing officer.,He's a very good purchasing officer.,He's a good purchasing officer.,He's a bad purchaser.,He's a terrible purchasing officer.,he,he,he,he,he
13-1032,13,1032,"Insurance Appraisers, Auto Damage",Auto Damage Insurance Appraiser,3,Motorlu Kara Taşıtları Sigorta Eksperi,He's a motor vehicle insurance expert.,He's a very good motor vehicle insurance expert.,He's a good motor vehicle insurance expert.,He's a bad motor vehicle insurance expert.,He's a very bad motor vehicle insurance expert.,he,he,he,he,he
13-1041,13,1041,Compliance Officers,License Inspector,3,Ruhsat  Memuru,He's a licensing officer.,He's a very good licensing officer.,He's a good licensing officer.,He's a bad licensing officer.,He's a terrible licensing officer.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Corporate Recruiter,2,işe Alım Uzmanı,He's a recruiter.,He's a very good recruiter.,He's a good recruiter.,He's a bad recruiter.,He's a terrible recruiter.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Employee Placement Specialist,2,istihdam Uzmanı,He's an employment expert.,He's a very good employment expert.,He's a good employment expert.,He's a bad employment expert.,He's a terrible employment expert.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Human Resources Generalist,4,insan Kaynakları Yönetimi Meslek Elemanı,He's a human resources management professional.,He's a very good human resources management professional.,He's a good human resources management professional.,He's a bad human resources management professional.,He's a terrible human resources management professional.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Personnel Specialist,2,Personel Uzmanı,He's a staff specialist.,He's a very good staff specialist.,He's a good staff specialist.,He's a bad personnel expert.,He's a terrible staff specialist.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Human Resources Specialist,2,insan Kaynakları Uzmanı,He's a human resources specialist.,He's a very good human resources specialist.,He's a good human resources expert.,He's a bad human resources expert.,He's a terrible human resources specialist.,he,he,he,he,he
13-1075,13,1075,Labor Relations Specialists,Industrial Relations Specialist,2,Endüstri ilişkileri Uzmanı,He's an industrial relations expert.,He's a very good industrial relations expert.,He's a good industrial relations expert.,He's a bad industrial relations expert.,He's a terrible industrial relations expert.,he,he,he,he,he
13-1075,13,1075,Labor Relations Specialists,Union Representative,1,işyeri Sendika Temsilcisi,He's a workplace union rep.,He's a very good workplace union rep.,He's a good workplace union rep.,He's a bad workplace union rep.,He's a terrible workplace union rep.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistician,4,Lojistik Elemanı,He's a logistics guy.,He's a very good logistics guy.,He's a good logistics guy.,He's a bad logistics guy.,He's a terrible logistics guy.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistics Analyst,4,Lojistik Takip Analisti,He's a logistics tracking analyst.,He's a very good logistics tracking analyst.,He's a good logistics tracking analyst.,He's a bad logistics tracking analyst.,He's a terrible logistics tracking analyst.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistics Specialist,4,Lojistik Uzmanı,He's a logistics expert.,He's a very good logistics expert.,He's a good logistics expert.,He's a bad logistics expert.,He's a terrible logistics expert.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Analyst,2,iş Analisti,He's a business analyst.,He's a very good business analyst.,He's a good business analyst.,He's a bad business analyst.,He's a terrible business analyst.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Consultant,2,iş Danışmanı,He's a business consultant.,He's a very good business consultant.,He's a good business consultant.,He's a bad business consultant.,He's a terrible business consultant.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Management Analyst,2,Yönetim Analisti,He's a management analyst.,He's a very good management analyst.,He's a good management analyst.,He's a bad management analyst.,He's a terrible management analyst.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Management Consultant,2,Danışman ,He's a consultant.,He's a very good consultant.,He's a good consultant.,He's a bad counselor.,He's a terrible consultant.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Management Analyst,2,Yönetim Analisti,He's a management analyst.,He's a very good management analyst.,He's a good management analyst.,He's a bad management analyst.,He's a terrible management analyst.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Conference Organizer,3,Konferans Düzenleyicisi,He's a conference organizer.,He's a very good conference organizer.,He's a good conference organizer.,He's a bad conference organizer.,He's a terrible conference organizer.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Events Manager,3,Organizasyon Sorumlusu,He's an organiser.,He's a very good organiser.,He's a good organiser.,He's a bad organiser.,He's a terrible organiser.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Wedding Planner,3,Düğün Düzenleyicisi,She's a wedding planner.,She's a very good wedding planner.,She's a good wedding planner.,She's a bad wedding planner.,She's a terrible wedding planner.,she,she,she,she,she
13-1131,13,1131,Fundraisers,Campaign Fundraiser,4,Yardım Tahsilatçısı,He's an aid collector.,He's a very good charity collector.,He's a good charity collector.,He's a bad welfare collector.,He's a terrible welfare collector.,he,he,he,he,he
13-1131,13,1131,Fundraisers,Fundraising Officer,4,Bağış Toplama Elemanı,He's a fundraiser.,He's a very good fundraiser.,He's a good fundraiser.,He's a bad fundraiser.,He's a terrible fundraiser.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Compensation Specialist,2,Ücret Uzmanı,He's a wage expert.,He's a very good wage expert.,He's a good wage expert.,He's a bad wage expert.,He's a terrible wage expert.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Employee Benefits Specialist,2,Yan Haklar Uzmanı,He's a benefits expert.,He's a very good benefits expert.,He's a good benefits expert.,He's a bad benefits expert.,He's a terrible benefits expert.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Occupational Analyst,2,Meslek Analizcisi,He's a professional analyst.,He's a very good professional analyst.,He's a good professional analyst.,He's a bad occupational analyst.,He's a terrible occupational analyst.,he,he,he,he,he
13-1151,13,1151,Training and Development Specialists,Computer Training Specialist,2,Bilgisayar Eğiticisi,He's a computer trainer.,He's a very good computer trainer.,He's a good computer trainer.,He's a bad computer trainer.,He's a terrible computer trainer.,he,he,he,he,he
13-1151,13,1151,Training and Development Specialists,Job Training Specialist,2,işgücü Yetiştirme Uzmanı,He's a labor training expert.,He's a very good labor training expert.,He's a good labor training expert.,He's a bad labor-training expert.,He's a terrible labor-training expert.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Advertising Analyst,2,ilan Ve Reklam işleri Sorumlusu,He's an advertising and advertising executive.,He's a very good publicist and publicist.,He's a good publicist and head of advertising.,"He's a bad ad, and he's in charge of advertising.","He's a terrible ad, and he's in charge of advertising.",he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Market Research Analyst,2,Pazar Araştırma Analisti,He's a market research analyst.,He's a very good market research analyst.,He's a good market research analyst.,He's a bad market research analyst.,He's a very bad market research analyst.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Marketing Specialist,2,Pazarlama Uzmanı,He's a marketing expert.,He's a very good marketing expert.,He's a good marketing expert.,He's a bad marketing expert.,He's a terrible marketing expert.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Account Auditor,2,Muhasebe işleri Murakıp,He's an accounting tying man.,He's a very good accountant.,He's a good accountant.,He's a bad accountant.,He's a terrible accountant.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Accountant,2,Muhasebeci,He's an accountant.,He's a very good accountant.,He's a good accountant.,He's a bad accountant.,He's a terrible accountant.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Auditor,3,Denetçi,He's an auditor.,He's a very good auditor.,He's a good auditor.,He's a bad supervisor.,He's a terrible auditor.,he,he,he,he,he
