2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.,He/She is a <occupation>. / O bir <occupation>.,He/She is a very good <occupation>. / O çok iyi bir <occupation>.,He/She is a good <occupation>. / O iyi bir <occupation>.,He/She is a bad <occupation>. / O kötü bir <occupation>.,He/She is a very bad <occupation>. / O çok kötü bir <occupation>.
11-3013,11,3013,Facilities Managers,Facility Manager,1,Tesis Yöneticisi,He's a facility manager.,He's a very good facility manager.,He's a good facility manager.,He's a bad facility manager.,He's a very bad facility manager.,he,he,he,he,he
11-3013,11,3013,Facilities Managers,Stadium Manager,5,Stadyum Görevlisi,He's a stadium attendant.,He's a very good stadium attendant.,He's a good stadium attendant.,He's a bad stadium attendant.,He's a very bad stadium attendant.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Computer Operations Manager,3,Sistem işletme Sorumlusu,He's a system operator.,He's a very good system operator.,He's in charge of a good system business.,He's in charge of a bad system business.,He's in charge of a very bad system business.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Information Systems Manager,1,Bilgi işlem Yönetici,He's a computing manager.,He's a very good computing manager.,He's a good computing manager.,He's a bad computing manager.,He's a very bad computing manager.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Information Technology Director,1,Bilgi Teknolojileri (BT) Müdürü,He is an information technology (IT) manager.,He is a very good information technology (IT) manager.,He is a good information technology (IT) manager.,He's a bad information technology (IT) manager.,He's a very bad information technology (IT) manager.,he,he,he,he,he
11-3021,11,3021,Computer and Information Systems Managers,Management Information Systems Director,2,Yönetim Bilişim Sistemleri Uzmanı,He is a management information systems expert.,He is a very good management information systems expert.,He's a good management information systems expert.,He's a bad management information systems expert.,He's a very bad management information systems expert.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Bank Branch Manager,1,Şube Müdürü,He's a branch manager.,He's a very good branch manager.,He's a good branch manager.,He's a bad branch manager.,He's a very bad branch manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Banking Manager,1,Banka Müdürü,He's a bank manager.,He's a very good bank manager.,He's a good bank manager.,He's a bad bank manager.,He's a very bad bank manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,City Treasurer,1,Hazine Müdürü,He's a treasury manager.,He's a very good treasure manager.,He's a good treasure manager.,He's a bad treasure manager.,He's a very bad treasure manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Credit Manager,1,Kredi Müdürü,He's a loan manager.,He's a very good credit manager.,He's a good loan manager.,He's a bad credit manager.,He's a very bad credit manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Financial Director,1,Finans Müdürü,He's a finance manager.,He's a very good finance manager.,He's a good finance manager.,He's a bad finance manager.,He's such a bad financial manager.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Financial Officer,2,Finansman Sorumlusu,He's a finance manager.,He's a very good financier.,He's a good financier.,He's a bad financier.,He's a very bad financier.,he,he,he,he,he
11-3031,11,3031,Financial Managers,Fiscal Manager,1,Bütçe Müdürü,He's a budget manager.,He's a very good budget manager.,He's a good budget manager.,He's a bad budget manager.,He's a very bad budget manager.,he,he,he,he,he
11-3051,11,3051,Industrial Production Managers,Manufacturing Director,1,imalat Sanayi Üretim Müdürü,He's a manufacturing industry production manager.,He is a very good manufacturing industry production manager.,He is a good manufacturing industry production manager.,He's a bad manufacturing production manager.,He's a very bad manufacturing production manager.,he,he,he,he,he
11-3051,11,3051,Industrial Production Managers,Plant Manager,1,Fabrika Müdürü,He's a factory manager.,He's a very good factory manager.,He's a good factory manager.,He's a bad factory manager.,He's a very bad factory manager.,he,he,he,he,he
11-3061,11,3061,Purchasing Managers,Contracting Manager,1,Sözleşme Yöneticisi,He's a contract manager.,He's a very good contract manager.,He's a good contract manager.,He's a bad contract manager.,He's a very bad contract manager.,he,he,he,he,he
11-3061,11,3061,Purchasing Managers,Purchasing Director,1,Satın Alma müdürü,He's a purchasing manager.,He's a very good purchasing manager.,He's a good purchasing manager.,He's a bad purchasing manager.,He's a very bad purchasing manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Airport Manager,1,Liman işletme Müdürü,He's a port management manager.,He is a very good port management manager.,He's a good port management manager.,He's a bad port management manager.,He's a very bad port management manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Cold Storage Supervisor,9,Soğuk Hava Depo Görevlisi,He's a cold storage attendant.,He's a very good cold storage attendant.,He's a good cold store keeper.,He's a bad cold storage attendant.,He's a very bad cold storage attendant.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,1,Dağıtım Müdürü,He's a distribution manager.,He's a very good distribution manager.,He's a good distribution manager.,He's a bad distribution manager.,He's a very bad distribution manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Logistics Manager,1,Lojistik Operasyon Yöneticisi,He's a logistics operations manager.,He is a very good logistics operations manager.,He's a good logistics operations manager.,He's a bad logistics operations manager.,He's a very bad logistics operations manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Transportation Manager,1,Ulaşım Yönetici,He's a transport manager.,He is a very good transport manager.,He's a good transport manager.,He's a bad transport manager.,He's a very bad transport manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Warehouse Manager,1,Ardiye Yönetici,He's a warehouse manager.,He is a very good warehouse manager.,He's a good warehouse manager.,He's a bad warehouse manager.,He's a very bad warehouse manager.,he,he,he,he,he
11-3111,11,3111,Compensation and Benefits Managers,Wage and Salary Administrator,2,Ücret Ve Yan Haklar Uzmanı,He's a salary and benefits expert.,He's a very good salary and benefits expert.,He's a good pay and benefits expert.,He's a bad pay and benefits expert.,He's a very bad pay and benefits expert.,he,he,he,he,he
11-3121,11,3121,Human Resources Managers,Personnel Manager,1,Personel işleri Yönetici,He's a staff affairs manager.,He is a very good staff affairs manager.,He's a good staff affairs manager.,He's a bad staff affairs manager.,He's a very bad staff affairs manager.,he,he,he,he,he
11-3121,11,3121,Human Resources Managers,Human Resources Manager,1,insan Kaynakları Müdürü,He's a human resources manager.,He is a very good human resources manager.,He's a good human resources manager.,He's a bad human resources manager.,He's a very bad human resources manager.,he,he,he,he,he
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Animal Husbandry Manager,1,Hayvancılık işletme Yöneticisi,He is a livestock business manager.,He is a very good livestock business manager.,He is a good livestock business manager.,He's a bad livestock business manager.,He's a very bad livestock business manager.,he,he,he,he,he
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Farm Manager,1,Çiftlik Yöneticisi,He's a farm manager.,He's a very good farm manager.,He's a good farm manager.,He's a bad farm manager.,He's a very bad farm manager.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Construction Coordinator,1,inşaat Koordinatör,He's a construction coordinator.,He's a very good construction coordinator.,He's a good construction coordinator.,He's a bad construction coordinator.,He's a very bad construction coordinator.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Construction Superintendent,3,inşaat Şantiye Şefi,He's a construction site manager.,He's a very good construction site manager.,He's a good construction site manager.,He's a bad construction site chief.,He's a very bad construction site chief.,he,he,he,he,he
11-9021,11,9021,Construction Managers,General Contractor,1,Müteahhit,He's a contractor.,He's a very good contractor.,He's a good contractor.,He's a bad contractor.,He's a very bad contractor.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Masonry Contractor Administrator,3,Beton Tesis Şefi,He's a concrete plant chief.,He is a very good concrete plant chief.,He's a good concrete plant chief.,He's a bad concrete plant chief.,He's a very bad concrete plant chief.,he,he,he,he,he
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Director,1,Çocuk Bakım Hizmet Müdürü,He's a childcare manager.,He's a very good childcare manager.,He's a good childcare manager.,He's a bad childcare manager.,He's a very bad childcare manager.,he,he,he,he,he
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",,1,Anaokulu Müdür,He's a kindergarten principal.,He's a very good kindergarten principal.,He's a good kindergarten principal.,He's a bad kindergarten principal.,He's a very bad kindergarten principal.,he,he,he,he,he
11-9032,11,9032,"Education Administrators, Kindergarten through Secondary",K-12 School Principal,1,Okul Müdürü,He is a school principal.,He is a very good principal.,He's a good headmaster.,He's a bad school principal.,He's a very bad headmaster.,he,he,he,he,he
11-9033,11,9033,"Education Administrators, Postsecondary",Education Administrator,1,Eğitim Yöneticisi,He is a training manager.,He is a very good education manager.,He is a good education manager.,He's a bad education manager.,He's a very bad education manager.,he,he,he,he,he
11-9033,11,9033,"Education Administrators, Postsecondary",University Dean,1,Dekan,He's a dean.,He's a very good dean.,He's a good dean.,He's a bad dean.,He's a very bad dean.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Food and Beverage Manager,1,Yiyecek içecek Müdürü,He's a food and beverage manager.,He's a very good food and beverage manager.,He's a good food and beverage manager.,He's a bad food and beverage manager.,He's a very bad food and beverage manager.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Restaurant General Manager,1,Lokanta Genel Müdür,He's a restaurant general manager.,He is a very good restaurant general manager.,He's a good restaurant general manager.,He's a bad restaurant general manager.,He's a very bad restaurant general manager.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Tavern Operator,1,"Kafe, Bar Ve Snack Bar işletmecisi","He's a cafe, bar and snack bar manager.","He's a very good cafe, bar and snack bar manager.","He's a good cafe, bar and snack bar manager.","He's a bad cafe, bar and snack bar operator.","He's a very bad cafe, bar and snack bar operator.",he,he,he,he,he
11-9072,11,9072,"Entertainment and Recreation Managers, Except Gambling",Fitness Club Manager,1,Spor Tesisi Yöneticisi,He's a sports facility manager.,He is a very good sports facility manager.,He's a good sports facility manager.,He's a bad fitness facility manager.,He's a very bad sports facility manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Boardinghouse Keeper,1,Pansiyon işletmecisi,He's a hostel manager.,He's a very good hostel manager.,He's a good hostel manager.,He's a bad hostel manager.,He's a very bad hostel manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Hotel Manager,1,Otel Müdürü,He's a hotel manager.,He's a very good hotel manager.,He's a good hotel manager.,He's a bad hotel manager.,He's a very bad hotel manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Lodging Facilities Manager,1,Konaklama Hizmetleri Yöneticileri,He's a hospitality services managers.,He is a very good accommodation services managers.,He is a good hospitality services managers.,It is a bad accommodation services managers.,It is a very bad accommodation services managers.,he,he,he,it,it
11-9111,11,9111,Medical and Health Services Managers,Healthcare Administrator,1,Sağlık Kurumu işletmecisi,He is a healthcare provider.,He is a very good healthcare provider.,He's a good healthcare provider.,He's a bad healthcare operator.,He's a very bad healthcare operator.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Healthcare Manager,1,Sağlık Yöneticisi,He's a healthcare manager.,He is a very good health manager.,He's a good health manager.,He's a bad health manager.,He's a very bad health manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Hospice Director,1,Hasta Bakımevi Müdürü,He's a nursing home manager.,He's a very good nursing home manager.,He's a good nursing home manager.,He's a bad nursing home manager.,He's a very bad nursing home manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Medical Director,1,Tıbbi Direktör,He's a medical director.,He's a very good medical director.,He's a good medical director.,He's a bad medical director.,He's a very bad medical director.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Medical Records Administrator,3,Tıbbi Kayıt Süpervizörü,He's a medical record supervisor.,He's a very good medical record supervisor.,He's a good medical record supervisor.,He's a bad medical record supervisor.,He's a very bad medical record supervisor.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Nursing Home Manager,1,Huzurevi Müdürü,He's a nursing home manager.,He's a very good nursing home manager.,He's a good nursing home manager.,He's a bad nursing home manager.,He's a very bad nursing home manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Nursing Service Director,1,Yaşlı Bakım Hizmetleri Müdürü,He's an aged care services manager.,He's a very good aged care manager.,He's a good aged care services manager.,He's a bad aged care services manager.,He's a very bad aged care services manager.,he,he,he,he,he
11-9131,11,9131,Postmasters and Mail Superintendents,Postal Supervisor,4,Posta Servis Nezaretçisi,He's a postal service supervisor.,He's a very good mail service supervisor.,He's a good mail service supervisor.,He's a bad mail service supervisor.,He's a very bad mail service supervisor.,he,he,he,he,he
11-9131,11,9131,Postmasters and Mail Superintendents,Postmaster,4,Posta Şefi,He's a postmaster.,He's a very good postmaster.,He's a good postmaster.,He's a bad postmaster.,He's a very bad postmaster.,he,he,he,he,he
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Apartment Manager,5,Apartman idarecisi,He's an apartment manager.,He's a very good apartment manager.,He's a good apartment manager.,He's a bad apartment manager.,He's a very bad apartment manager.,he,he,he,he,he
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Real Estate Manager,1,Gayrimenkul işleri Yönetici,He's a real estate manager.,He is a very good real estate manager.,He's a good real estate manager.,He's a bad real estate manager.,He's a very bad real estate manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Family Service Center Director,1,Aile Hizmetleri Müdürü,He's a family services manager.,He's a very good family services manager.,He's a good family services manager.,He's a bad family services manager.,He's a very bad family services manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Social Service Director,1,Sosyal Yardım Müdürü,He's a social welfare manager.,He's a very good outreach manager.,He's a good outreach manager.,He's a bad welfare manager.,He's a very bad welfare manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Youth Program Director,3,Gençlik ve Spor Uzmanı,He is a youth and sports expert.,He is a very good youth and sports expert.,He is a good youth and sports expert.,He's a bad youth and sports expert.,He's a very bad youth and sports expert.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Director of Civil Defense,5,Sivil Savunma Amiri,He's a civil defense chief.,He's a very good civil defense chief.,He's a good civil defense chief.,He's a bad civil defense chief.,He's a very bad civil defense chief.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Disaster Response Director,1,Afet ve Acil Durum Yönetimi Başkanı,He is the head of disaster and emergency management.,He is a very good head of disaster and emergency management.,He's a good head of disaster and emergency management.,He's a bad head of disaster and emergency management.,He's a very bad head of disaster and emergency management.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Emergency Management Director,3,Acil Yardım ve Afet Yöneticisi,He's an emergency and disaster manager.,He's a very good emergency and disaster manager.,He's a good emergency and disaster manager.,He's a bad emergency and disaster manager.,He's a very bad emergency and disaster manager.,he,he,he,he,he
11-9179,11,9179,"Personal Service Managers, All Other",Day Spa Director,1,SPA Merkezi Müdürü,He's a spa center manager.,He's a very good spa manager.,He's a good spa manager.,He's a bad spa manager.,He's a very bad spa manager.,he,he,he,he,he
13-1023,13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Agent,3,Satın Alma Görevlisi,He's a purchasing agent.,He's a very good purchasing agent.,He's a good purchasing agent.,He's a bad purchasing agent.,He's a very bad purchasing agent.,he,he,he,he,he
13-1032,13,1032,"Insurance Appraisers, Auto Damage",Auto Damage Insurance Appraiser,3,Motorlu Kara Taşıtları Sigorta Eksperi,He's a motor vehicle insurance expert.,He's a very good motor vehicle insurance expert.,He's a good motor vehicle insurance expert.,He's a bad motor vehicle insurance expert.,He's a very bad motor vehicle insurance expert.,he,he,he,he,he
13-1041,13,1041,Compliance Officers,License Inspector,3,Ruhsat  Memuru,He's a license officer.,He's a very good license officer.,He's a good license officer.,He's a bad license officer.,He's a very bad licensing officer.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Corporate Recruiter,2,işe Alım Uzmanı,He's a recruitment specialist.,He's a very good recruiter.,He's a good recruiting expert.,He's a bad recruiting expert.,He's a very bad recruiting expert.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Employee Placement Specialist,2,istihdam Uzmanı,He's an employment professional.,He is a very good employment expert.,He's a good employment expert.,He's a bad employment expert.,He's a very bad employment expert.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Human Resources Generalist,4,insan Kaynakları Yönetimi Meslek Elemanı,He is a human resources management professional.,He is a very good human resources management professional.,He is a good human resources management professional.,He's a bad human resource management professional.,He's a very bad human resource management professional.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Personnel Specialist,2,Personel Uzmanı,He's a staff specialist.,He's a very good staff specialist.,He's a good staff specialist.,He's a bad staff specialist.,He's a very bad staff specialist.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Human Resources Specialist,2,insan Kaynakları Uzmanı,He is a human resources expert.,He is a very good human resources expert.,He is a good human resources expert.,He's a bad human resources expert.,He's a very bad human resources expert.,he,he,he,he,he
13-1075,13,1075,Labor Relations Specialists,Industrial Relations Specialist,2,Endüstri ilişkileri Uzmanı,He's an industrial relations expert.,He is a very good industrial relations expert.,He's a good industrial relations expert.,He's a bad industrial relations expert.,He's a very bad industrial relations expert.,he,he,he,he,he
13-1075,13,1075,Labor Relations Specialists,Union Representative,1,işyeri Sendika Temsilcisi,He's a workplace union representative.,He's a very good workplace union representative.,He's a good workplace union representative.,He's a bad workplace union representative.,He's a very bad workplace union representative.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistician,4,Lojistik Elemanı,He's a logistics guy.,He's a very good logistics guy.,He's a good logistics guy.,He's a bad logistics guy.,He's a very bad logistics guy.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistics Analyst,4,Lojistik Takip Analisti,He's a logistics tracking analyst.,He is a very good logistics tracking analyst.,He's a good logistics tracking analyst.,He's a bad logistics tracking analyst.,He's a very bad logistics tracking analyst.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistics Specialist,4,Lojistik Uzmanı,He's a logistics expert.,He's a very good logistics expert.,He's a good logistics expert.,He's a bad logistics expert.,He's a very bad logistics expert.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Analyst,2,iş Analisti,He's a business analyst.,He's a very good business analyst.,He's a good business analyst.,He's a bad business analyst.,He's a very bad business analyst.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Consultant,2,iş Danışmanı,He's a business consultant.,He is a very good business consultant.,He's a good business advisor.,He's a bad business advisor.,He's a very bad business advisor.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Management Analyst,2,Yönetim Analisti,He's a management analyst.,He's a very good management analyst.,He's a good management analyst.,He's a bad management analyst.,He's a very bad management analyst.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Management Consultant,2,Danışman ,He's a consultant.,He's a very good advisor.,He's a good adviser.,He's a bad advisor.,He's a very bad counselor.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Management Analyst,2,Yönetim Analisti,He's a management analyst.,He's a very good management analyst.,He's a good management analyst.,He's a bad management analyst.,He's a very bad management analyst.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Conference Organizer,3,Konferans Düzenleyicisi,He's a conference organizer.,He's a very good conference organizer.,He's a good conference organizer.,He's a bad conference organizer.,He's a very bad conference organizer.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Events Manager,3,Organizasyon Sorumlusu,He's an organization manager.,He is a very good organizer.,He's a good organizer.,He's a bad organizer.,He's a very bad organizational manager.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Wedding Planner,3,Düğün Düzenleyicisi,He's a wedding organizer.,He's a very good wedding organizer.,He's a good wedding organizer.,He's a bad wedding host.,He's a very bad wedding host.,he,he,he,he,he
13-1131,13,1131,Fundraisers,Campaign Fundraiser,4,Yardım Tahsilatçısı,He's a charity collector.,He's a very good fundraiser.,He's a good charity collector.,He's a bad aid collector.,He's a very bad fundraiser.,he,he,he,he,he
13-1131,13,1131,Fundraisers,Fundraising Officer,4,Bağış Toplama Elemanı,He's a fundraiser.,He's a great fundraiser.,He's a good fundraiser.,He's a bad fundraiser.,He's such a bad fundraiser.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Compensation Specialist,2,Ücret Uzmanı,He's a wage expert.,He's a very good wage expert.,He's a good wage expert.,He's a bad wage expert.,He's a very bad wage expert.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Employee Benefits Specialist,2,Yan Haklar Uzmanı,He's a benefits expert.,He's a very good fringe benefits expert.,He's a good benefits expert.,He's a bad benefits expert.,He's such a bad benefits expert.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Occupational Analyst,2,Meslek Analizcisi,He's a job analyst.,He is a very good job analyst.,He's a good job analyst.,He's a bad job analyst.,He's a very bad job analyst.,he,he,he,he,he
13-1151,13,1151,Training and Development Specialists,Computer Training Specialist,2,Bilgisayar Eğiticisi,He's a computer educator.,He is a very good computer educator.,He's a good computer educator.,He's a bad computer educator.,He's a very bad computer educator.,he,he,he,he,he
13-1151,13,1151,Training and Development Specialists,Job Training Specialist,2,işgücü Yetiştirme Uzmanı,He's a workforce training specialist.,He is a very good workforce training expert.,He's a good workforce training expert.,He's a bad workforce training expert.,He's a very bad workforce training expert.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Advertising Analyst,2,ilan Ve Reklam işleri Sorumlusu,He's in charge of the advertising and advertising business.,He is a very good advertisement and advertisement manager.,He's a good advertising and advertising business manager.,He's in charge of a bad advertising and advertising business.,He's in charge of a very bad advertising and advertising business.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Market Research Analyst,2,Pazar Araştırma Analisti,He is a market research analyst.,He is a very good market research analyst.,He is a good market research analyst.,He's a bad market research analyst.,He's a very bad market research analyst.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Marketing Specialist,2,Pazarlama Uzmanı,He's a marketing expert.,He's a very good marketing expert.,He's a good marketing expert.,He's a bad marketing expert.,He's a very bad marketing expert.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Account Auditor,2,Muhasebe işleri Murakıp,He's an accounting business accountant.,He's a very good accountant.,He is a good accounting works accountant.,He's a bad accountant.,He's a very bad accounting business accountant.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Accountant,2,Muhasebeci,He's an accountant.,He's a very good accountant.,He's a good accountant.,He's a bad accountant.,He's a very bad accountant.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Auditor,3,Denetçi,He's an auditor.,He is a very good auditor.,He's a good auditor.,He's a bad auditor.,He's a very bad auditor.,he,he,he,he,he
