,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
11-3051,11,3051,Industrial Production Managers,Plant Manager,1,Fabrika Müdürü,He's a factory manager.,He's a very good factory manager.,He's a good factory manager.,He's a bad factory manager.,He is a very bad factory manager.,he,he,he,he,he
11-3061,11,3061,Purchasing Managers,Contracting Manager,1,Sözleşme Yöneticisi,He's a contract manager.,He's a very good contract manager.,He's a good contract manager.,He's a bad contract manager.,He's a very bad contract manager.,he,he,he,he,he
11-3061,11,3061,Purchasing Managers,Purchasing Director,1,Satın Alma müdürü,He's a purchasing manager.,He's a very good purchasing manager.,He's a good purchasing manager.,He's a bad buying manager.,He's a very bad purchasing manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Airport Manager,1,Liman işletme Müdürü,He's a port manager.,He's a very good port manager.,He's a good port manager.,He's a bad port manager.,He's a very bad port manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Cold Storage Supervisor,9,Soğuk Hava Depo Görevlisi,He's a cold-air storage agent.,He's a very good cold-air storage agent.,He's a good cold-air storage agent.,He's a bad cold-air storage agent.,He's a terrible cold-air storage agent.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,1,Dağıtım Müdürü,He's a distribution manager.,He's a very good delivery manager.,He's a good delivery manager.,He's a bad distribution manager.,He's a very bad distribution manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Logistics Manager,1,Lojistik Operasyon Yöneticisi,He's a logistics operations manager.,He's a very good logistics operations manager.,He's a good logistics operations manager.,He's a bad logistics operations manager.,He's a very bad logistics operations manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Transportation Manager,1,Ulaşım Yönetici,He's a transportation manager.,He's a very good transportation manager.,He's a good transportation manager.,He's a bad transportation manager.,He's a terrible transport manager.,he,he,he,he,he
11-3071,11,3071,"Transportation, Storage, and Distribution Managers",Warehouse Manager,1,Ardiye Yönetici,He's a successor.,He's a very good ardija manager.,He is a good successor.,He's a bad successor.,He's a terrible successor.,he,he,he,he,he
11-3111,11,3111,Compensation and Benefits Managers,Wage and Salary Administrator,2,Ücret Ve Yan Haklar Uzmanı,He's a wage and a rights expert.,He's a very good judge of wages and rights.,He's a good salary and a good judge of rights.,He's a bad wage and a rights expert.,He's a terrible wage and a rights expert.,he,he,he,he,he
11-3121,11,3121,Human Resources Managers,Personnel Manager,1,Personel işleri Yönetici,He's a staff manager.,He's a very good employee manager.,He's a good employee manager.,He's a bad employee manager.,He's a very bad employee manager.,he,he,he,he,he
11-3121,11,3121,Human Resources Managers,Human Resources Manager,1,insan Kaynakları Müdürü,He's a human resource manager.,He's a very good human resource manager.,He's a good human resource manager.,He's a bad human resource manager.,He's a very bad HR manager.,he,he,he,he,he
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Animal Husbandry Manager,1,Hayvancılık işletme Yöneticisi,He's a livestock manager.,He's a very good livestock manager.,He's a good livestock manager.,He's a bad livestock business manager.,He's a very bad livestock manager.,he,he,he,he,he
11-9013,11,9013,"Farmers, Ranchers, and Other Agricultural Managers",Farm Manager,1,Çiftlik Yöneticisi,He's a farm manager.,He's a very good farm manager.,He's a good farm manager.,He's a bad farm manager.,He's a terrible farm manager.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Construction Coordinator,1,inşaat Koordinatör,He's a construction coordinator.,He's a very good construction coordinator.,He's a good construction coordinator.,He's a bad construction coordinator.,He's a very bad construction coordinator.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Construction Superintendent,3,inşaat Şantiye Şefi,He's a construction site manager.,He's a very good construction site chief.,He's a good construction site chief.,He's a bad construction site chief.,He's a very bad construction site chief.,he,he,he,he,he
11-9021,11,9021,Construction Managers,General Contractor,1,Müteahhit,He's a contractor.,He's a very good contractor.,He's a good contractor.,He's a bad contractor.,He's a terrible contractor.,he,he,he,he,he
11-9021,11,9021,Construction Managers,Masonry Contractor Administrator,3,Beton Tesis Şefi,He's a concrete facility chief.,He's a very good concrete facility chief.,He's a good concrete facility chief.,He's a bad concrete facility chief.,He's a very bad concrete facility chief.,he,he,he,he,he
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Director,1,Çocuk Bakım Hizmet Müdürü,He's a child care manager.,He's a very good babysitting service manager.,He's a good babysitting director.,He's a bad babysitter.,He's a terrible babysitting director.,he,he,he,he,he
11-9031,11,9031,"Education and Childcare Administrators, Preschool and Day Care",,1,Anaokulu Müdür,He is a kindergarten principal.,He is a very good kindergarten principal.,He is a good kindergarten principal.,He is a bad preschool principal.,He is a very bad kindergarten principal.,he,he,he,he,he
11-9032,11,9032,"Education Administrators, Kindergarten through Secondary",K-12 School Principal,1,Okul Müdürü,He's a school principal.,He's a very good principal.,He's a good principal.,He's a bad school principal.,He's a terrible principal.,he,he,he,he,he
11-9033,11,9033,"Education Administrators, Postsecondary",Education Administrator,1,Eğitim Yöneticisi,He's an education manager.,He's a very good education manager.,He is a good education manager.,He's a bad education manager.,He's a very bad education manager.,he,he,he,he,he
11-9033,11,9033,"Education Administrators, Postsecondary",University Dean,1,Dekan,He's a dean.,He's a very good dean.,He's a good dean.,He's a bad dean.,He's a terrible dean.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Food and Beverage Manager,1,Yiyecek içecek Müdürü,He's a food beverage manager.,He's a very good food beverage manager.,He's a good food beverage manager.,He's a bad food beverage manager.,He's a very bad food beverage manager.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Restaurant General Manager,1,Lokanta Genel Müdür,He's the general manager of a restaurant.,He's a very good restaurant manager.,He's a good restaurant manager.,He's the general manager of a bad restaurant.,He's a very bad restaurant manager.,he,he,he,he,he
11-9051,11,9051,Food Service Managers,Tavern Operator,1,"Kafe, Bar Ve Snack Bar işletmecisi","He's a cafe, bar, snack bar manager.","He's a very good cafe, bar and snack bar manager.","He's a good cafe, bar and snack bar manager.","He's a bad cafe, bar and snack bar manager.","He's a terrible cafe, bar and snack bar manager.",he,he,he,he,he
11-9072,11,9072,"Entertainment and Recreation Managers, Except Gambling",Fitness Club Manager,1,Spor Tesisi Yöneticisi,He's a sports facility manager.,He's a very good sports facility manager.,He's a good sports facility manager.,He's a bad sports facility manager.,He's a very bad sports facility manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Boardinghouse Keeper,1,Pansiyon işletmecisi,He's a boarding house.,He's a very good hostess.,He's a good hostess.,He's a bad hostess.,He's a terrible hostess.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Hotel Manager,1,Otel Müdürü,He's a hotel manager.,He's a very good hotel manager.,He's a good hotel manager.,He's a bad hotel manager.,He's a terrible hotel manager.,he,he,he,he,he
11-9081,11,9081,Lodging Managers,Lodging Facilities Manager,1,Konaklama Hizmetleri Yöneticileri,He's a hospitality manager.,He's a very good host service manager.,He is a good host service managers.,He's a bad host service manager.,He's a terrible host service manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Healthcare Administrator,1,Sağlık Kurumu işletmecisi,He's a health care worker.,He's a very good health care provider.,He's a good health care provider.,He's a bad health care operator.,He's a very bad health care operator.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Healthcare Manager,1,Sağlık Yöneticisi,He's a health manager.,He's a very good health manager.,He's a good health manager.,He's a bad health manager.,He's a terrible health manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Hospice Director,1,Hasta Bakımevi Müdürü,He's a patient nursing home manager.,He's a very good patient nursing home manager.,He's a good patient nursing home manager.,He's a bad patient nursing home manager.,He's a very bad patient nursing home manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Medical Director,1,Tıbbi Direktör,He's a medical director.,He's a very good medical director.,He's a good medical director.,He's a bad medical director.,He's a terrible medical director.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Medical Records Administrator,3,Tıbbi Kayıt Süpervizörü,He's a medical record supervisor.,He's a very good medical record supervisor.,He's a good medical record supervisor.,He's a bad medical record supervisor.,He's a terrible medical record supervisor.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Nursing Home Manager,1,Huzurevi Müdürü,He's a nursing home manager.,He's a very good nursing home manager.,He's a good nursing home manager.,He's a bad nursing home manager.,He's a very bad nursing home manager.,he,he,he,he,he
11-9111,11,9111,Medical and Health Services Managers,Nursing Service Director,1,Yaşlı Bakım Hizmetleri Müdürü,He's an old care manager.,He's a very good old care manager.,He's a good old care manager.,He's a bad old care manager.,He's a very bad old care manager.,he,he,he,he,he
11-9131,11,9131,Postmasters and Mail Superintendents,Postal Supervisor,4,Posta Servis Nezaretçisi,He's a postal service supervisor.,He's a very good postal service supervisor.,He's a good postal service supervisor.,He's a bad postal service supervisor.,He's a very bad postal service supervisor.,he,he,he,he,he
11-9131,11,9131,Postmasters and Mail Superintendents,Postmaster,4,Posta Şefi,He's a post chief.,He's a very good postal chief.,He's a good postal chief.,He's a bad postmaster.,He's a very bad postal chief.,he,he,he,he,he
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Apartment Manager,5,Apartman idarecisi,He's an apartment manager.,He's a very good apartment manager.,He's a good apartment manager.,He's a bad apartment manager.,He's a terrible apartment manager.,he,he,he,he,he
11-9141,11,9141,"Property, Real Estate, and Community Association Managers",Real Estate Manager,1,Gayrimenkul işleri Yönetici,He's a real estate manager.,He's a very good real estate manager.,He's a good real estate manager.,He's a bad real estate manager.,He's a very bad real estate manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Family Service Center Director,1,Aile Hizmetleri Müdürü,He's a family service manager.,He's a very good family service manager.,He's a good family service manager.,He's a bad family service manager.,He's a very bad family service manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Social Service Director,1,Sosyal Yardım Müdürü,He's a welfare manager.,He's a very good welfare manager.,He's a good welfare manager.,He's a bad social welfare manager.,He's a terrible social welfare manager.,he,he,he,he,he
11-9151,11,9151,Social and Community Service Managers,Youth Program Director,3,Gençlik ve Spor Uzmanı,He's a youth and sports expert.,He's a very good youth and sports expert.,He's a good youth and sports expert.,He's a bad youth and sports expert.,He's a terrible youth and sports expert.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Director of Civil Defense,5,Sivil Savunma Amiri,He's a civil defense chief.,He's a very good civil defense chief.,He's a good civil defense chief.,He's a bad civil defense chief.,He's a very bad civil defense chief.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Disaster Response Director,1,Afet ve Acil Durum Yönetimi Başkanı,He's the head of disaster and emergency management.,He's a very good disaster and emergency management.,He's a good disaster and emergency management.,He's a bad disaster and emergency management.,He's a terrible disaster and emergency management.,he,he,he,he,he
11-9161,11,9161,Emergency Management Directors,Emergency Management Director,3,Acil Yardım ve Afet Yöneticisi,He's an emergency aid and disaster manager.,He's a very good emergency aid and disaster manager.,He is a good emergency aid and disaster manager.,He's a bad emergency and disaster manager.,He's a very bad emergency and disaster manager.,he,he,he,he,he
11-9179,11,9179,"Personal Service Managers, All Other",Day Spa Director,1,SPA Merkezi Müdürü,He's a spa center manager.,He's a very good spa center manager.,He's a good spa center manager.,He's a bad spa center manager.,He's a very bad spa center manager.,he,he,he,he,he
13-1023,13,1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Agent,3,Satın Alma Görevlisi,He's a buyer.,He's a very good buyer.,He's a good buyer.,He's a bad buyer.,He's a terrible buyer.,he,he,he,he,he
13-1032,13,1032,"Insurance Appraisers, Auto Damage",Auto Damage Insurance Appraiser,3,Motorlu Kara Taşıtları Sigorta Eksperi,He's an insurance expert on motorized land vehicles.,He's a very good motor land vehicle insurance expert.,He's a good motorized land vehicle insurance expert.,He's a bad motor land vehicle insurance expert.,"He's a terrible, bad motor, insurance expert.",he,he,he,he,he
13-1041,13,1041,Compliance Officers,License Inspector,3,Ruhsat  Memuru,He's a licensing officer.,He's a very good licensing officer.,He's a good licensing officer.,He's a bad licensing officer.,He's a terrible licensing officer.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Corporate Recruiter,2,işe Alım Uzmanı,He's a recruitment expert.,He's a very good recruitment specialist.,He's a good recruitment specialist.,He's a bad recruitment expert.,He's a terrible recruitment expert.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Employee Placement Specialist,2,istihdam Uzmanı,He's an employment specialist.,He's a very good employment specialist.,He is a good employment specialist.,He's a bad employment specialist.,He's a very bad employment specialist.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Human Resources Generalist,4,insan Kaynakları Yönetimi Meslek Elemanı,He's a human resources management professional.,He's a very good human resources management professional.,He's a good human resources management professional.,He's a bad HR management professional.,He's a terrible human resources management professional.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Personnel Specialist,2,Personel Uzmanı,He's a staff expert.,He's a very good staffer.,He's a good staff expert.,He's a bad staffer.,He's a terrible staffer.,he,he,he,he,he
13-1071,13,1071,Human Resources Specialists,Human Resources Specialist,2,insan Kaynakları Uzmanı,He's a human resources expert.,He's a very good human resources expert.,He's a good human resources expert.,He's a bad human resources expert.,He's a terrible human resources expert.,he,he,he,he,he
13-1075,13,1075,Labor Relations Specialists,Industrial Relations Specialist,2,Endüstri ilişkileri Uzmanı,He's an industry relations expert.,He's a very good industry relations expert.,He's a good industry relations expert.,He's a bad industry relations expert.,He's a terrible expert on industry relations.,he,he,he,he,he
13-1075,13,1075,Labor Relations Specialists,Union Representative,1,işyeri Sendika Temsilcisi,He's a business union rep.,He's a very good business union rep.,He's a good business union rep.,He's a bad business union rep.,He's a terrible business union rep.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistician,4,Lojistik Elemanı,He's a logistics guy.,He's a very good logistics guy.,He's a good logistics guy.,He's a bad logistics guy.,He's a terrible logistics guy.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistics Analyst,4,Lojistik Takip Analisti,He's a logistics tracker.,He's a very good logistics tracker.,He's a good logistics tracker.,He's a bad logistics tracker.,He's a terrible logistics tracker.,he,he,he,he,he
13-1081,13,1081,Logisticians,Logistics Specialist,4,Lojistik Uzmanı,He's a logistics expert.,He's a very good logistics expert.,He's a good logistics expert.,He's a bad logistics expert.,He's a terrible logistics expert.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Analyst,2,iş Analisti,He's a business analyst.,He's a very good business analyst.,He is a good business analyst.,He's a bad business analyst.,He's a terrible business analyst.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Consultant,2,iş Danışmanı,He's a business consultant.,He's a very good business consultant.,He's a good business consultant.,He's a bad business consultant.,He's a very bad business consultant.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Business Management Analyst,2,Yönetim Analisti,He's a management analyst.,He's a very good management analyst.,He's a good management analyst.,He's a bad management analyst.,He's a very bad management analyst.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Management Consultant,2,Danışman ,He's a consultant.,He is a very good adviser.,He's a good consultant.,He's a bad adviser.,He's a terrible consultant.,he,he,he,he,he
13-1111,13,1111,Management Analysts,Management Analyst,2,Yönetim Analisti,He's a management analyst.,He's a very good management analyst.,He's a good management analyst.,He's a bad management analyst.,He's a very bad management analyst.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Conference Organizer,3,Konferans Düzenleyicisi,He's a conference organizer.,He's a very good conference organizer.,He's a good conference organizer.,He's a bad conference organizer.,He's a very bad conference organizer.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Events Manager,3,Organizasyon Sorumlusu,He's an organizer.,He's a very good organizer.,He's a good organizer.,He's a bad organizer.,He's a terrible organizer.,he,he,he,he,he
13-1121,13,1121,"Meeting, Convention, and Event Planners",Wedding Planner,3,Düğün Düzenleyicisi,She's a wedding planner.,She's a very good wedding organizer.,She's a good wedding organizer.,She's a bad wedding planner.,She's a very bad wedding organizer.,she,she,she,she,she
13-1131,13,1131,Fundraisers,Campaign Fundraiser,4,Yardım Tahsilatçısı,He's a charity collector.,He's a very good fundraiser.,He's a good relief collector.,He's a bad relief collector.,He's a terrible relief collector.,he,he,he,he,he
13-1131,13,1131,Fundraisers,Fundraising Officer,4,Bağış Toplama Elemanı,He's a fundraiser.,He's a very good fundraiser.,He's a good fundraiser.,He's a bad fundraiser.,He's a terrible fundraiser.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Compensation Specialist,2,Ücret Uzmanı,He's a wage expert.,He's a very good salary specialist.,He's a good salary specialist.,He's a bad wage expert.,He's a terrible wage expert.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Employee Benefits Specialist,2,Yan Haklar Uzmanı,He's a rights expert.,He's a very good clairvoyant.,He's a good byrights expert.,He's a bad side rights expert.,He's a very bad bylaws expert.,he,he,he,he,he
13-1141,13,1141,"Compensation, Benefits, and Job Analysis Specialists",Occupational Analyst,2,Meslek Analizcisi,He's a vocational analyst.,He's a very good vocational analyst.,He's a good vocational analyst.,He's a bad vocational analyst.,He's a terrible vocational analyst.,he,he,he,he,he
13-1151,13,1151,Training and Development Specialists,Computer Training Specialist,2,Bilgisayar Eğiticisi,He is a computer trainer.,He is a very good computer trainer.,He is a good computer trainer.,He's a bad computer trainer.,He's a terrible computer trainer.,he,he,he,he,he
13-1151,13,1151,Training and Development Specialists,Job Training Specialist,2,işgücü Yetiştirme Uzmanı,He's a labor expert.,He's a very good workforce trader.,He's a good workforce trader.,He's a bad workforce trader.,He's a very bad workforce trader.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Advertising Analyst,2,ilan Ve Reklam işleri Sorumlusu,He's a billboard and an advertising man.,He's a very good ad and the advertising man.,He's a good advertisement and advertising man.,"He's a bad ad, and he's in charge of advertising.","He's a very bad ad, and he's in charge of advertising.",he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Market Research Analyst,2,Pazar Araştırma Analisti,He's a market research analyst.,He's a very good market research analyst.,He's a good market research analyst.,He's a bad market research analyst.,He's a terrible market research analyst.,he,he,he,he,he
13-1161,13,1161,Market Research Analysts and Marketing Specialists,Marketing Specialist,2,Pazarlama Uzmanı,He's a marketing expert.,He's a very good marketing specialist.,He's a good marketing specialist.,He's a bad marketing expert.,He's a terrible marketing specialist.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Account Auditor,2,Muhasebe işleri Murakıp,She's a bookkeeper.,He's a very good bookkeeper.,She's looking for good accounting.,He's a bad bookkeeper.,He's looking for some very bad accounting stuff.,she,he,she,he,he
13-2011,13,2011,Accountants and Auditors,Accountant,2,Muhasebeci,He's an accountant.,He's a very good accountant.,He's a good accountant.,He's a bad accountant.,He's a very bad accountant.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Auditor,3,Denetçi,He's a supervisor.,He's a very good supervisor.,He's a good supervisor.,He's a bad supervisor.,He's a terrible supervisor.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Certified Public Accountant,2,Yeminli Mali Müşavir,He's a sworn bailiff.,He's a very good financial consultant.,He's a good-sworn bailiff.,He's a bad-sworn financial consultant.,He's a terrible financial consultant.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Financial Auditor,2,Mali Denetçi,He's a financial controller.,He's a very good financial controller.,He's a good financial controller.,He's a bad financial controller.,He's a terrible financial controller.,he,he,he,he,he
13-2011,13,2011,Accountants and Auditors,Internal Auditor,3,iç Denetçi,He's an internal controller.,He's a very good internal controller.,He's a good internal controller.,He's a bad internal controller.,He's a terrible internal controller.,he,he,he,he,he
