"Source: https://esube.iskur.gov.tr/Meslek/meslek.aspx -> click on ""Tüm meslek listesini görmek için tıklayınız",
ISCO-08 KODU,MESLEK ADI
2413.09,Finans Uzmanı
2413.1,Uluslararası Finans Uzmanı
2413.11,Yatırım Uzmanı
2413.12,Portföy Yöneticisi
2413.13,Muhasebe ve Finans Yönetimi Uzmanı/Yöneticisi
2421.01,Kurumsal Kaynak Planlama Uzmanı
2421.02,Organizasyon Ve Yöntem Analisti
2421.03,Yönetim Analisti
2421.04,Danışman (Müşavir)
2421.05,Avrupa Birliği İlişkileri Uzmanı
2421.06,KOBİ Danışmanı
2421.07,Girişimcilik Uzmanı
2421.08,Organizasyonel Gelişim Uzmanı
2422.01,İş İstihbarat Memuru
2422.02,İş Politikası Analisti
2422.03,Uluslararası İlişkiler Uzmanı
2422.04,Denizcilik Uzmanı
2422.06,Mesleki Yeterlilik Kurumu Uzmanı
2423.01,İnsan Kaynakları Uzmanı
2423.02,İstihdam Uzmanı
2423.03,İş Analisti
2423.04,Kariyer Danışmanı
2423.05,Mesleğe Yöneltme Uzmanı
2423.06,Meslek Analizcisi
2423.07,Mesleki Rehberlik Danışmanı
2423.08,Mesleki Yeterlilik Kurumu Uzman Yardımcısı
2423.09,Endüstri İlişkileri Uzmanı
2423.1,İnsan Kaynakları Uzmanı/Personel Uzmanı
2423.11,Diğer Personel Ve Meslek Uzmanları
2423.12,İş Geliştirme Uzmanı
2423.13,Uzman (Genel)
2423.14,Uzman Yardımcısı (Genel)
2423.15,Ücret Ve Yan Haklar Uzmanı
2423.16,İş ve Meslek Danışmanı
2423.17,Eğitim Danışmanı
2423.18,Kariyer ve Yetenek Yönetimi Uzmanı
2423.19,İşe Alım Uzmanı
2423.2,Endüstriyel İlişkiler Uzmanı
2423.21,Kariyer Psikolojik Danışmanı
2423.22,Başuzman
2423.23,Performans Uzmanı
2424.01,İşgücü Yetiştirme Uzmanı
2424.02,Eğitim Uzmanı-Hizmetiçi Eğitim
2431.01,İlan Ve Reklam İşleri Sorumlusu
2431.02,İlan Yazarı
2431.03,Pazar Araştırma Analisti
2431.04,Pazarlama Uzmanı
2431.05,Reklam Acentesi Yetkilisi
2431.06,Reklam Ve Tanıtım Uzmanı
2431.08,Reklamcı
2431.09,Uluslararası Ticaret Yönetimi Meslek Elemanı
2431.1,Kurumsal İletişim Uzmanı
2431.11,Proje Satış Sorumlusu
2432.01,Basınla İlişkiler Görevlisi
2432.02,Halkla İlişkiler Görevlisi
2432.03,Halkla İlişkiler ve Tanıtım Elemanı/Uzmanı
2432.04,Halkla İlişkiler Ve Tanıtım Meslek Elemanı
2432.05,Basın Ve Halkla İlişkiler Müşaviri
2432.06,Sosyal Medya Uzmanı
2432.07,İletişim Uzmanı/Danışmanı
2433.01,İlaç Tanıtım-Satış Mümessili (Reprezantı)
2433.02,İşitme Cihazları Satış Danışmanı
2433.03,Satış Temsilcisi (Endüstriyel Ürünler)
2433.04,Teknik Satış Temsilcisi
2433.05,Satış Temsilcisi (Medikal ve Eczacılık Ürünleri)
2434.01,BT Satış Sorumlusu
2511.01,Sistem Analisti (BT)
2511.02,Sistem Çözümleyici
2511.03,Sistem Tasarımcısı (BT)
2511.04,BT Çözümleri Uzmanı
2511.05,Sistem Geliştirme Uzmanı (Banka)
2511.06,Yönetim Bilişim Sistemleri Uzmanı
2511.07,Bilişim Sistemleri Mühendisi
2511.08,Sistem Uzmanı/Danışmanı
2511.09,BT İş Analisti
2511.1,BT İş Analizi Elemanı
2511.11,Uygulama Uzmanı/Danışmanı (Bilişim)
2512.01,Yazılım Mühendisi
2512.02,Bilgisayar Mühendisi
2512.03,Program Analisti
2512.04,Yazılım Tasarımcısı
2512.05,Yazılım Geliştiricisi
2513.01,Web Tasarım Uzmanı (Bilgisayar)
2513.02,Web Programcısı
2513.03,Animasyon Programcısı
2513.04,Bilgisayar Oyunları Programcısı
2513.05,İnternet Geliştiricisi
2513.06,Çoklu Ortam Programcısı
2513.07,Web ve Çoklu Ortam Geliştiricisi ve Sorumlusu
2513.08,Grafik ve Animasyon Tabanlı Web Sayfası Hazırlayıcısı
2514.01,Bilgisayar Programcısı
2514.02,Sistem Programcısı
2514.03,Uygulama Programcısı
2514.04,Mikrodenetleyici Programcısı
2514.05,Bilgi İşlem Destek Uzmanı
2514.06,Mobil Yazılım Geliştirme Uzmanı
2514.07,Bilişim Personeli
2514.08,Oyun Geliştirme Uzmanı
2514.09,Dijital Oyun Tasarımcısı
2519.01,Mikroişlem Tasarımcısı
2519.02,Sistem Değerlendirmecisi
2519.03,Kalite Güvence Analisti (Bilgisayar)
2519.04,Yazılım Test Edicisi
2519.05,Sistem Test Edicisi
2519.06,Uygulama Destek Uzmanı(Bilişim)
2519.07,Donanım Geliştirme Uzmanı
2521.01,Veri Tabanı Yöneticisi
2521.02,Veri Tabanı Analisti
2521.03,Ağ Veri Tabanı Yöneticisi
2521.04,Veri Tabanı Mimarı
2521.05,ETL Uzmanı/Danışmanı
2521.06,Büyük Veri Uzmanı/Danışmanı
2521.07,Veri Bilimci
2521.08,İş Zekası Uzmanı/Danışmanı
2521.09,Veri/Bilgi Yönetimi Danışmanı
2521.1,Veri Mühendisi
2522.01,Bilgisayar Ağı Yöneticisi
2522.02,Bilgisayar Sistemleri Yöneticisi
2523.01,Ağ Teknolojileri Uzmanı
2523.02,İletişim Analisti (Bilgisayar)
2523.03,Bilgisayar Ağı Analisti
2529.01,Bilgi Güvenlik Denetmeni
2529.02,Enformasyon Teknolojileri Uzmanı
2529.03,Dijital Adli Tıp Uzmanı
2529.04,Güvenlik Uzmanı (BİT)
2529.05,Bilgi Güvenlik Uzmanı
2529.06,İşletme Enformatiği Uzmanı
2529.07,Veri Madenciliği Uzmanı/Danışmanı
2529.08,Adli Bilişim Mühendisi
2529.09,Siber Güvenlik Uzmanı
2529.1,Kişisel Verileri Koruma Uzmanı
2529.11,Kişisel Verileri Koruma Uzman Yardımcısı
2611.01,Hukuk Müşaviri
2611.02,Avukat
2611.03,Dava Vekili
2611.04,Hukukçu (Genel)
2611.05,Savcı
2612.01,Hakim (Yargıç)
2619.01,"Hukukçu (Hakim,avukat, Savcı Ve Noter Hariç)"
2619.02,Noter
2621.01,Diğer Arşivciler Ve Sorumluları
2621.02,Sanat Galerisi Ve Müze Sorumlusu
2621.03,Arşivci
2621.04,Küratör
2621.05,Müze Uzmanı/Araştırmacısı
2621.06,Sanat ve Kültür Yöneticisi
2622.01,Diğer Kütüphaneciler Ve Sorumluları
2622.02,Kütüphaneci
2622.03,Kitap Pataloğu
2622.04,Kütüphaneci (Aksesyon /derleme Hizmetleri)
2622.05,Kütüphaneci (Kataloglama-Sınıflama Hizmetleri)
2622.06,Kütüphaneci (Okuyucu Hizmetleri)
2622.07,Bilgi ve Belge Yöneticisi
2631.01,Ekonomist (İktisatçı)
2631.02,Ekonomist-Uzman
2631.03,Çalışma Ekonomisti
2631.04,Ekonometrist
2631.05,İşletmeci
2631.06,İslam Ekonomisti
2631.07,Kredi Analisti (Banka)
2631.09,Aile ve Tüketici Bilimleri /Ev Ekonomisti
2632.01,Antropolog
2632.02,Coğrafyacı
2632.03,"Diğer Sosyologlar,antropologlar Ve İlgili Bilim Adamları"
2632.04,Sosyolog
2632.05,Arkeolog
2632.06,Sosyal Antropolog
2632.07,Fiziki Antropolog
2632.08,Halk Bilimci (Folklor)
2632.09,Etnolog
2632.1,Fosil Bilimci (Paleontolojist)
2632.11,Hititolog
2632.12,İnsan ve Toplum Bilimcisi
2633.01,Siyaset Bilimci
2633.02,Tarihçi
2633.03,Sanat Tarihçisi
2633.04,Felsefeci
2633.05,Tarihçi (Yakın Dönem)
2633.06,Siyaset Bilimi ve Kamu Yönetimi Uzmanı
2633.07,Siyaset Bilimi ve Uluslararası İlişkiler Uzmanı
2633.08,Bilim Tarihçisi
2634.01,Psikolog
2634.02,Psikolog (Aile Mahkemeleri)
2634.03,Psikolog (Çocuk Mahkemeleri)
2634.04,Psikolog (Huzurevleri Ve Yaşlı Bakım Evleri)
2634.05,Psikolog (Kreş Ve Gündüz Bakımevleri)
2634.06,Psikolog (Özel Eğitim Okulları)
2634.07,Psikolog (Okul Öncesi Eğitim)
2634.08,Klinik Psikolog
2634.09,Psikolog (Diyaliz Merkezleri)
2635.01,Diğer Sosyal İşlerde Çalışanlar
2635.02,Kültürel Hizmet Görevlisi-Kültür Merkezi
2635.03,Sosyal Çalışma Uzmanı
2635.04,Sosyal Çalışmacı-Çocuk Islahevi
2635.05,Sosyal Hizmet Uzmanı (Sosyal Çalışmacı)
2635.06,Sosyal Çalışmacı-Psikiyatri
2635.07,Sosyal Hizmet Uzmanı
2635.08,Psikolojik Danışman
2635.09,Sosyal Hizmet Uzmanı (Hastane)
2635.1,Koç
2635.11,Sosyal Güvenlik Meslek Elemanı
2635.12,İl Planlama Uzmanı
2635.13,Sosyal Güvenlik Uzmanı
2635.14,Aile Danışmanı
2635.15,Oyun Terapisti
2635.16,Madde Bağımlılığı Danışmanı
2635.17,Aile Sosyal Destek Personeli
2636.01,Din Adamı
2636.02,Müftü
2636.03,Murakıp (Din İşleri)
2636.04,Din Görevlisi
2636.05,İmam
2636.06,Kuran Öğreticisi
2636.07,Vaiz
2636.08,İlahiyatçı
2641.01,"Diğer Müellifler, Gazeteciler Ve İlgili Yazarlar"
2641.02,Kitap Editörü
2641.03,Kitap Yayıncısı
2641.04,Müellif-Yazar
2641.05,Teknik Yazar
2641.06,Tiyatro Eleştirmeni Ve Dramaturg
2641.07,Dramatik Metin Yazarı
2641.08,Deneme Yazarı
2641.09,İnteraktif Medya Yazarı
2641.1,Roman Yazarı
2641.11,Oyun Yazarı
2641.12,Şair
2641.13,Senaryo Yazarı
2641.14,Konuşma Metni Yazarı
2641.15,Reklam Yazarı
2641.17,Film Tasarım ve Yazarı
2642.01,Gazete Muhabiri
2642.02,Metin Yazarı
2642.03,Muhabir
2642.04,Radyo Ve Televizyon Muhabiri
2642.05,Yazı İşleri Müdürü (Gazete Ve Dergi)
2642.06,Gazeteci
2642.07,"Editör-Gazete, Dergi Vb."
2642.08,Düzeltmen (Basın Yayın)
2642.09,Yazar (Gazete-Dergi)
2642.1,Televizyon Muhabiri
2642.11,İnternet Editörü
2642.12,Yazılı Basın Muhabiri
2642.13,Spor Yazarı
2642.14,Eleştirmen
2642.15,Asistan/Stajyer Muhabir
2642.16,Foto Muhabiri (Foto Röportaj )
2642.17,Haber Editörü
2642.18,Haber Redaktörü
2642.19,Okur Temsilcisi
2642.2,İnternet Medyası Uzmanı
2643.01,Dilbilimci
2643.02,Mütercim
2643.03,Çevirmen/Tercüman
2643.04,Türkolog
2643.05,Seslendirme Çevirmeni
2643.06,İşaret Dili Çevirmeni
2643.07,El Yazması Ve Nadir Eserler Uzmanı
2643.08,Tercüman (Japonca)
2643.09,Tercüman (Çince)
2643.1,Tercüman (Arapça)
2643.11,Tercüman (İngilizce)
2643.12,Tercüman (İtalyanca)
2643.13,Tercüman (Rusça)
2643.14,Tercüman (İspanyolca)
2643.15,Tercüman (Fransızca)
2643.16,Tercüman (Almanca)
2643.17,Tercüman (Yunanca)
2643.18,Tercüman (Macarca)
2643.19,Tercüman (Bulgarca)
2643.2,Tercüman (Hintçe)
2643.21,Tercüman (Farsça)
2643.22,Tercüman (Korece)
2643.23,Tercüman (Latince)
2643.24,Tercüman (Lehçe)
2643.25,Tercüman (Osmanlıca)
2643.26,Tercüman (Hollandaca)
2643.27,Filolog (Alman Dili ve Edebiyatı)
2643.28,Filolog (Arap Dili ve Edebiyatı)
2643.29,Filolog (Arnavut Dili ve Edebiyatı)
2643.3,Filolog (Azerbaycan Dili ve Edebiyatı)
2643.31,Filolog (Boşnak Dili ve Edebiyatı)
2643.32,Filolog (Bulgar Dili ve Edebiyatı)
2643.33,Filolog (Çağdaş Yunan Dili ve Edebiyatı)
2643.34,Filolog (Çin Dili ve Edebiyatı)
2643.35,Filolog (Ermeni Dili ve Edebiyatı)
2643.36,Filolog (Eski Yunan Dili ve Edebiyatı)
2643.37,Filolog (Fars Dili ve Edebiyatı)
2643.38,Filolog (Fransız Dili ve Edebiyatı)
2643.39,Filolog (Gürcü Dili ve Edebiyatı)
2643.4,Filolog (İbrani Dili ve Edebiyatı)
2643.41,Filolog (İngiliz Dili ve Edebiyatı)
2643.42,Filolog (İspanyol Dili ve Edebiyatı)
2643.43,Filolog (İtalyan Dili ve Edebiyatı)
2643.44,Filolog (Japon Dili ve Edebiyatı)
2643.45,Filolog (Kore Dili ve Edebiyatı)
2643.46,Filolog (Kürt Dili ve Edebiyatı)
2643.47,Filolog (Latin Dili ve Edebiyatı)
2643.48,Filolog (Leh Dili ve Edebiyatı)
2643.49,Filolog (Rus Dili ve Edebiyatı)
2643.5,Filolog (Türk Dili ve Edebiyatı)
2643.51,Filolog (Urdu Dili ve Edebiyatı)
2643.52,Filolog (Yunan Dili ve Edebiyatı)
2643.53,Filolog (Zaza Dili ve Edebiyatı)
2643.54,Filolog (Çağdaş Türk Lehçeleri Edebiyatı)
2643.55,Filolog (Çerkez Dili ve Edebiyatı)
2651.01,Bilgisayar Grafik Operatörü
2651.02,"Diğer Heykeltıraşlar,ressamlar Ve İlgili Sanatçılar"
2651.03,Gravür Ressamı-Oyma Ve Yakma
2651.04,Heykeltraş
2651.05,Karikatürist
2651.06,Reklam Ressamı
2651.07,Ressam
2651.08,Tablo Restorasyon Sanatkarı
2651.09,Sahne Ressamı (Dekor Ressamı)
2651.1,Mahyacı
2651.11,Ebruzen
2651.12,Sedefkar
2651.13,Müzehhip/Tezhip Sanatçısı
2651.14,Minyatürcü
2651.15,Hattat
2651.16,Katı'an
2651.17,Kalemkar
2651.18,Seramik Sanatçısı
2651.19,Vitraycı
2651.2,Hakkak
2651.21,Mozaik Sanatçısı
2651.22,İndirmeci (Cam)
2651.23,Ressam (Kumlama)
2651.24,Filografi Sanatçısı
2651.25,Rölyef (Kabartma) Sanatları Yapımcısı
2651.26,Edirnekari Sanatçısı
2651.27,Medya ve Görsel Sanatlar Uzmanı
2651.28,Cam Füzyoncu
2651.29,Restoratör ve Konservatör (Kültür Varlıklarını Koruma ve Onarım Uzmanı)
2652.01,Diğer Kompozitörler
2652.02,Bestekar/kompozitör
2652.03,Diğer Müzisyenler Ve Ses Sanatkarları
2652.04,Enstrümancı (Müzik)
2652.05,Koro Şefi
2652.06,Orkestra Şefi
2652.07,Orkestratör (Orkestra Müziği Yazarı/orkestra Parçaları Bestecisi)
2652.08,Ses Sanatkarı
2652.09,Opera Sanatçısı/Şarkıcısı
2652.1,Müzisyen
2652.11,Ney Sanatçısı (Neyzen)
2652.12,Piyanist
2652.13,Tuba Sanatçısı
2652.14,Trompet Sanatçısı
2652.15,Trombon Sanatçısı
2652.16,Saksafon Sanatçısı (Saksafoncu)
2652.17,Obua Sanatçısı
2652.18,Viyolonsel Sanatçısı (Çelist/viyolonist)
2652.19,Korno Sanatçısı
2652.2,Viyola Sanatçısı
2652.21,Klarnet Sanatçısı (Klarnetçi)
2652.22,Flüt Sanatçısı
2652.23,Kontrbas Sanatçısı
2652.24,Arp Sanatçısı
2652.25,Keman Sanatçısı (Kemancı)
2652.26,Gitar Sanatçısı (Gitarist)
2652.27,Fagot Sanatçısı (Fagotçu)
2652.28,Ud Sanatçısı (Udi)
2652.29,Mehter Sanatçısı
2652.3,Kanun Sanatçısı (Kanuni)
2652.31,Kemençe Sanatçısı (Kemençeci)
2652.32,Bağlama Sanatçısı
2652.33,Vurmalı Sazlar Sanatçısı (Perküsyonist)
2652.34,Bando Şefi
2652.35,Davulcu
2652.36,Zurnacı
2652.37,Cümbüş Sanatçısı
2652.38,Türk Halk Müziği Sanatçısı
2652.39,Türk Sanat Müziği Sanatçısı
2652.4,Darbukacı
2653.01,Dans Sanatçısı/Dansçı
2653.02,Koreograf
2653.03,Bale Dansçısı
2653.04,Semazen
2653.05,Halk Oyunları Oyuncusu
2653.06,Halk Oyunları Oyuncusu (Adıyaman Yöresi)
2653.07,Halk Oyunları Oyuncusu (Ardahan Yöresi)
2653.08,Halk Oyunları Oyuncusu (Bitlis Yöresi)
2653.09,Halk Oyunları Oyuncusu (Bolu Yöresi)
2653.1,Halk Oyunları Oyuncusu (Bursa Yöresi)
2653.11,Halk Oyunları Oyuncusu (Denizli Yöresi)
2653.12,Halk Oyunları Oyuncusu (Erzurum Yöresi Erkek Barları)
2653.13,Halk Oyunları Oyuncusu (Erzurum Yöresi Kadın Barları)
2653.14,Halk Oyunları Oyuncusu (Giresun Yöresi)
2653.15,Halk Oyunları Oyuncusu (Gümüşhane Yöresi)
2653.16,Halk Oyunları Oyuncusu (Iğdır Yöresi)
2653.17,Halk Oyunları Oyuncusu (Kars Yöresi)
2653.18,Halk Oyunları Oyuncusu (Kars Yöresi Kafkas)
2653.19,Halk Oyunları Oyuncusu (Kastamonu Yöresi)
2653.2,Halk Oyunları Oyuncusu (Kütahya Yöresi Erkek Oyunları)
2653.21,Halk Oyunları Oyuncusu (Kütahya Yöresi Kadın Oyunları)
2653.22,Halk Oyunları Oyuncusu (Ordu Yöresi)
2653.23,Halk Oyunları Oyuncusu (Siirt Yöresi)
2653.24,Halk Oyunları Oyuncusu (Şanlıurfa Yöresi)
2653.25,Halk Oyunları Oyuncusu (Zonguldak Yöresi)
2653.26,Halk Oyunları Oyuncusu (Bartın Yöresi)
2653.27,Halk Oyunları Oyuncusu (Karaman Yöresi)
2653.28,Halk Oyunları Oyuncusu (Adana Yöresi)
2653.29,Halk Oyunları Oyuncusu (Afyonkarahisar Yöresi)
2653.3,Halk Oyunları Oyuncusu (Ağrı Yöresi Erkek Barları)
2653.31,Halk Oyunları Oyuncusu (Ağrı Yöresi Halay)
2653.32,Halk Oyunları Oyuncusu (Amasya Yöresi)
2653.33,Halk Oyunları Oyuncusu (Ankara Yöresi)
2653.34,Halk Oyunları Oyuncusu (Ankara Yöresi Kadın Oyunları)
2653.35,Halk Oyunları Oyuncusu (Ankara Yöresi Seğmen)
2653.36,Halk Oyunları Oyuncusu (Antalya Yöresi)
2653.37,Halk Oyunları Oyuncusu (Artvin Yöresi)
2653.38,Halk Oyunları Oyuncusu (Aydın Yöresi)
2653.39,Halk Oyunları Oyuncusu (Balıkesir Yöresi Erkek Oyunları)
2653.4,Halk Oyunları Oyuncusu (Balıkesir Yöresi Kadın Oyunları)
2653.41,Halk Oyunları Oyuncusu (Balıkesir Yöresi Karma Oyunları)
2653.42,Halk Oyunları Oyuncusu (Hatay Yöresi)
2653.43,Halk Oyunları Oyuncusu (Batman Yöresi)
2653.44,Halk Oyunları Oyuncusu (Bayburt Yöresi)
2653.45,Halk Oyunları Oyuncusu (Bilecik Yöresi)
2653.46,Halk Oyunları Oyuncusu (Bingöl Yöresi)
2653.47,Halk Oyunları Oyuncusu (Burdur Yöresi Erkek Oyunları)
2653.48,Halk Oyunları Oyuncusu (Burdur  Yöresi Kadın Oyunları)
2653.49,Halk Oyunları Oyuncusu (Çanakkale  Yöresi Erkek Oyunları
2653.5,Halk Oyunları Oyuncusu (Çanakkale  Yöresi Kadın Oyunları
2653.51,Halk Oyunları Oyuncusu (Elazığ Yöresi)
2654.01,Diğer Perde Ve Sahne Yapımcıları
2654.02,Radyo-Televizyon Program Yapımcısı (Prodüktör)
2654.03,Yapımcı-Sinema
2654.04,Yapımcı-Tiyatro
2654.05,Sahne Ve Gösteri Sanatları Yöneticisi
2654.06,Prodüksiyon Amiri
2654.07,Prodüksiyon Amir Yardımcısı
2654.08,Sahne Yönetmeni
2654.09,Sinema Yönetmeni
2654.1,Işık Yönetmeni
2654.11,Yayın Şefi (Radyo)
2654.12,Teknik Yönetmen (Radyo)
2654.13,Fotoğraf Yönetmeni (Sinema)
2654.14,Kurgu Yönetmeni
2654.15,Televizyon Program Yönetmeni
2654.16,Teknik Yönetmen (Televizyon)
2654.17,Haber Müdürü (Radyo-Televizyon)
2654.18,Editör (Radyo-Televizyon)
2654.19,Kısa Film Yapımcısı
2654.2,Prodüktör
2654.21,Yönetmen
2654.22,Sahne Amiri
2654.23,Sahne Uzmanı
2655.01,Aktör (Oyuncu)
2655.02,Anlatıcı
2655.03,Diğer Aktörler Ve Sahne Yöneticileri
2655.04,Seslendirme Sanatçısı
2655.05,Tiyatro Oyuncusu
2655.06,Pandomim Oyuncusu
2656.01,Radyo Ve Televizyon Spikeri
2656.02,Takdimci
2656.03,Anons Görevlisi
2656.04,Diskjokey(DJ)
2656.05,Haber Spikeri
2656.06,Televizyon Habercisi ve Programcısı
2659.01,Karagöz Sanatçısı
2659.02,Kukla Yapımcısı Ve Oynatıcısı
2659.03,Akrobat
2659.04,Diğer Perde Ve Sahne Sanatkarları
2659.05,Diğer Sirk Sanatçıları
2659.06,Palyaço
2659.07,Sihirbaz
2659.08,Trapezci
2659.09,Animatör-Eğlence Hizmetleri
2659.1,Çocuk Animatörü-Eğlence Hizmetleri
2659.11,Stand-up Komedyeni
2659.12,Vantrilok
3111.01,Diğer Fiziki Bilimler Teknisyenleri
3111.02,Fizik Teknisyeni
3111.03,Laborant (Gıda)
3111.04,Gıda Laboratuvar Elemanı
3111.05,Kimya Laboratuvarı Görevlisi
3111.06,Laborant (Et)
3111.07,Kimya Laboratuvarı Teknisyeni
3111.08,Laboratuvar Teknisyeni (Oto Sünger/Boya)
3111.09,Laborant (Çimento/X-RAY Operatörü)
3111.1,Baş Laborant/Kimya Laboratuvarı Sorumlusu
3111.11,İstidlalci
3111.12,Kimya Teknolojisi Teknisyeni
3111.13,Kimya Teknikeri
3111.14,Kimya Teknisyeni (Konveyör Bant Testi)
3111.15,Kimya Teknisyeni (Korozyon)
3111.16,Kimya Teknisyeni (Malzeme Depozit)
3111.17,Kimya Teknisyeni (Petrol)
3111.18,Kimya Teknisyeni (Su Analizleri)
3111.19,Kimya Teknisyeni (Yağlama Yağları Analizi)
3111.2,Kimya Teknisyeni (Yakıt Test)
3111.21,Kimya Teknisyeni (Yalıtım Yağları Analizi)
3111.22,Fizik Laboratuvarı Sorumlusu
3111.23,Tarım  ve Hayvan Sağlığı Laborantı
3111.24,Termik Santral Laboratuvarcısı
3111.25,Çimento Test Elemanı
3111.26,Waelz Prosesi Laboratuvar Görevlisi
3111.27,Numune Alma Elemanı
3111.28,Laborant (Alçı)
3111.29,Beton Laboratuvar Test Elemanı
3111.3,Tekstil Test Laboratuvar Sorumlusu
3112.01,Geoteknik Teknikeri/Jeoteknik Teknikeri
3112.02,Diğer İnşaat Teknisyenleri
3112.03,İnşaat Sürveyanı
3112.04,İnşaat Teknolojisi Teknisyeni
3112.05,Kalite Kontrol Teknisyeni (İnşaat)
3112.06,Kontrol Teknisyeni-İnşaat
3112.07,Cephe Sistemleri Ve Pvc Doğrama Teknisyeni/ Pvc Doğrama İmalat Ve Montaj Teknisyeni
3112.08,Alt Yapı Teknisyeni
3112.09,İnşaat Teknolojisi Teknikeri
3112.1,Mimarlık ve Şehir Planlama Teknikeri
3112.11,Beton Teknikeri
3112.12,Ulaştırma Teknikeri/Ulaştırma Ve Trafik Hizmetleri Teknikeri
3112.13,Ulaştırma Teknikeri
3112.14,Yalıtım Teknikeri
3112.15,Yapı Laboratuvarı Teknisyeni
3112.16,Harita ve Maden Ölçme Teknikeri
3112.17,Yapı Teknisyeni
3112.18,Yapı Yalıtım Teknisyeni
3112.19,Raylı Sistemler Yol Teknikeri
3112.2,Yapı Denetim Teknikeri
3112.21,Trafik Arazi Teknisyeni
3112.22,Yapı Yüzey Kaplama Teknisyeni
3112.23,Çelik Konstrüksiyon (Yapılandırmacı) Teknisyeni
3112.24,Raylı Sistemler İnşaat Teknisyeni
3112.25,Bilgisayar Destekli Harita Çizim Elemanı
3112.26,Tapu Kadastro Teknikeri
3112.27,Harita Teknikeri
3112.28,Harita-Tapu-Kadastro Teknisyeni
3112.29,Harita ve Kadastro Teknikeri
3112.3,Kadastro Teknisyeni
3112.31,Harita Teknisyeni
3112.32,Sivil Savunma ve İtfaiyecilik Teknikeri/İtfaiyecilik Ve Yangın Güvenliği Teknikeri
3112.33,Gravite Döküm Tasarım Sorumlusu
3112.34,Betonarme Yapı Sistemleri Teknisyeni
3112.35,Ahşap Yapı Sistemleri Teknisyeni
3112.36,Yapı Tesisat Sistemleri/Sıhhi Tesisat/Isıtma ve Doğalgaz İç Tesisatı Teknisyeni
3112.37,Tapu Teknisyeni
3112.38,İtfaiyecilik ve Yangın Güvenliği Teknisyeni
3112.39,Yapı Beton-Zemin Malzeme Deneyleri Teknik Elemanı
3112.4,Yapı Duvarcılığı Teknisyeni
3112.41,Topoğraf Yardımcı Elemanı
3112.42,Yapı Tesisat Teknolojisi Teknikeri/ Tesisat Teknolojisi/Sıhhi Tesisat/Yapı Donatım Teknikeri
3112.43,Beton Tesis Şefi
3112.44,Yapı İç Mekân Dekorasyon Teknisyeni
3112.45,Şenör
3112.46,Numarataj Elemanı
3112.47,Beton-Çimento ve Zemin Teknolojisi Teknisyeni
3113.01,Diğer Elektrik Teknisyenleri
3113.02,Elektrik Tesisatı Ve Pano Montörü Teknisyeni
3113.03,Elektrik Teknisyeni-Yüksek Voltaj
3113.04,Elektrik Tevzii İşçisi (Enerji Merkezi)
3113.05,Elektrik Teknikeri
3113.06,Elektrik Teknisyeni
3113.07,Röle Ölçü Aletleri Teknisyeni / Röle Görevlisi
3113.08,Elektrik Dağıtım Şebekesi Hat Bakım Teknisyeni
3113.09,Elektrik Dağıtım Şebekesi Kayıp-Kaçak ve Ölçü Kontrol Teknisyeni
3113.1,Termik Santral Makineleri Teknikeri
3113.11,Termik Santrallerde Enerji Üretim Teknikeri
3113.12,Hidro-Elektrik Santralleri Teknikeri
3113.13,Elektrik Sinyal Ve Uzaktan Kumanda Teknisyeni
3113.14,Yüksek Gerilim Sistemeleri Teknisyeni
3113.15,Elektrik Zabiti (Gemi)
3113.16,Elektrik Dağıtım Şebekesi İşletme Bakım Teknisyeni
3113.17,Yüksek Gerilim Sistemcisi
3113.18,Enerji/Elektrik Enerjisi Üretim İletim ve Dağıtımı Teknikeri
3113.19,Elektrik Tesisat Ustası
3113.2,Bobinaj Teknisyeni
3113.21,Teknik Servis Şefi
3113.22,Bilgisayar Destekli Elektrik Proje Çizim Elemanı
3113.23,Sahne ve Gösteri Sanatları Teknolojisi Teknikeri
3113.24,Termik Santral Makineleri Teknisyeni
3113.25,Alternatif  Enerji Kaynakları Teknolojisi Teknikeri
3113.26,"Elektrik Enerjisi Üretim, İletim ve Dağıtım Teknikeri"
3113.27,Elektrik Pano Montajcısı  (Nezaretçi-Ustabaşı)
3113.28,Yüksek Gerilim Kablo Aksesuarları Montajcısı
3113.29,Yüksek Gerilim Teçhizatı Test Elemanı
3113.3,Yüksek Gerilim Teçhizatı Test Sorumlusu
3113.31,İşletme Elektrik Bakım Ustası
3113.32,Elektrik-Elektronik Teknolojisi Teknisyeni
3113.33,Elektrikli Cihaz Teknikeri(Ev Cihazları Teknikeri)
3113.34,Elektrikli Ev Aletleri Teknik Servis Teknisyeni
3113.35,Elektrik Dağıtım Şebekesi Test Teknisyeni
3113.36,Elektrik Dağıtım Şebekesi Saha Koordinatörü..
3113.37,Elektrik Dağıtımı SCADA Operatörü
3113.38,Enerji Tesisleri İşletmeciliği Meslek Elemanı/Teknikeri
3114.01,Uçak Elektrik Ve Elektronik Teknikeri
3114.02,Elektrik-Elektronik Teknisyeni
3114.03,Elektronik Teknolojisi Teknikeri/Elektrik-Elektronik Teknikeri
3114.04,Diğer Elektronik Teknisyenleri
3114.05,Elektronik Teknisyeni
3114.06,Tıp Elektroniği Teknisyeni
3114.07,Endüstriyel Bakım Onarım Teknisyeni/Endüstriyel Elektronik Teknisyeni
3114.08,Mikroteknoloji Teknisyeni
