Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
11-3061,Purchasing Managers,Director of Strategic Sourcing,,
11-3061,Purchasing Managers,Procurement Manager,x,
11-3061,Purchasing Managers,Purchasing Director,x,
11-3061,Purchasing Managers,Sourcing Manager,,
11-3071,"Transportation, Storage, and Distribution Managers",Airport Manager,,
11-3071,"Transportation, Storage, and Distribution Managers",Cold Storage Supervisor,,
11-3071,"Transportation, Storage, and Distribution Managers",Distribution Center Manager,x,
11-3071,"Transportation, Storage, and Distribution Managers",Logistics Manager,,
11-3071,"Transportation, Storage, and Distribution Managers",Logistics Supply Officer,,
11-3071,"Transportation, Storage, and Distribution Managers",Marine Oil Terminal Superintendent,,
11-3071,"Transportation, Storage, and Distribution Managers",Traffic Safety Administrator,x,
11-3071,"Transportation, Storage, and Distribution Managers",Transportation Manager,,
11-3071,"Transportation, Storage, and Distribution Managers",Warehouse Manager,x,
11-3071,"Transportation, Storage, and Distribution Managers",Warehouse Operations Manager,,
11-3111,Compensation and Benefits Managers,Compensation Director,x,
11-3111,Compensation and Benefits Managers,Employee Benefits Coordinator,,
11-3111,Compensation and Benefits Managers,Employee Benefits Director,x,
11-3111,Compensation and Benefits Managers,Employee Benefits Manager,,
11-3111,Compensation and Benefits Managers,Wage and Salary Administrator,x,
11-3121,Human Resources Managers,Employee Relations Manager,,
11-3121,Human Resources Managers,Job Analysis Manager,x,
11-3121,Human Resources Managers,Labor Relations Director,x,
11-3121,Human Resources Managers,Personnel Administrator,,
11-3121,Human Resources Managers,Personnel Director,,
11-3121,Human Resources Managers,Personnel Manager,x,
11-3121,Human Resources Managers,Position Description Manager,x,
11-3131,Training and Development Managers,E-Learning Manager,x,
11-3131,Training and Development Managers,Employee Development Director,x,
11-3131,Training and Development Managers,Employee Development Manager,,
11-3131,Training and Development Managers,Labor Training Manager,x,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Agricultural Crop Farm Manager,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Animal Husbandry Manager,x,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Aquaculture Farm Manager,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Beef Farm Operator,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Christmas Tree Farm Manager,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Dairy Farm Manager,x,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Fish Hatchery Manager,x,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Greenhouse Manager,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Hatchery Manager,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Orchard Manager,x,
11-9021,Construction Managers,Construction Coordinator,x,
11-9021,Construction Managers,Construction Superintendent,x,
11-9021,Construction Managers,General Contractor,x,
11-9021,Construction Managers,Masonry Contractor Administrator,,
11-9031,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Administrator,x,
11-9031,"Education and Childcare Administrators, Preschool and Day Care",Childcare Center Director,,
11-9031,"Education and Childcare Administrators, Preschool and Day Care",Early Head Start Director,,
11-9031,"Education and Childcare Administrators, Preschool and Day Care",Head Start Director,x,
11-9031,"Education and Childcare Administrators, Preschool and Day Care",Prekindergarten Program Coordinator,,
11-9031,"Education and Childcare Administrators, Preschool and Day Care",Preschool Director,x,
11-9032,"Education Administrators, Kindergarten through Secondary",Elementary School Principal,x,
11-9032,"Education Administrators, Kindergarten through Secondary",High School Principal,x,
11-9032,"Education Administrators, Kindergarten through Secondary",Junior High School Principal,,
11-9032,"Education Administrators, Kindergarten through Secondary",K-12 School Principal,,
11-9032,"Education Administrators, Kindergarten through Secondary",K-8 School Principal,,
11-9032,"Education Administrators, Kindergarten through Secondary",Middle School Principal,x,
11-9032,"Education Administrators, Kindergarten through Secondary",Secondary School Principal,,
11-9033,"Education Administrators, Postsecondary",Continuing Education Director,,
11-9033,"Education Administrators, Postsecondary",Director of Student Services,x,
11-9033,"Education Administrators, Postsecondary",Graduate School Dean,,
11-9033,"Education Administrators, Postsecondary",Graduate Studies Dean,,
11-9033,"Education Administrators, Postsecondary",Provost,x,
11-9033,"Education Administrators, Postsecondary",University Dean,x,
11-9033,"Education Administrators, Postsecondary",University Department Chair,x,
11-9041,Architectural and Engineering Managers,Electrical Engineering Director,,
11-9041,Architectural and Engineering Managers,Engineering Design Manager,x,
11-9041,Architectural and Engineering Managers,Engineering Manager,,
11-9041,Architectural and Engineering Managers,Engineering Research Manager,,
11-9041,Architectural and Engineering Managers,Global Engineering Manager,x,
11-9041,Architectural and Engineering Managers,Mechanical Engineering Director,x,
11-9041,Architectural and Engineering Managers,Process Engineering Manager,,
11-9051,Food Service Managers,Banquet Director,x,
11-9051,Food Service Managers,Banquet Manager,,
11-9051,Food Service Managers,Cafeteria Director,,
11-9051,Food Service Managers,Food and Beverage Manager,,
11-9051,Food Service Managers,Food Service Director,x,
11-9051,Food Service Managers,Restaurant General Manager,,
11-9051,Food Service Managers,Tavern Operator,x,
11-9071,Gambling Managers,Bingo Manager,,
11-9071,Gambling Managers,Casino Manager,x,
11-9071,Gambling Managers,Gambling Department Head,,
11-9071,Gambling Managers,Gambling Director,,
11-9071,Gambling Managers,Gambling Manager,,
11-9071,Gambling Managers,Slot Operations Director,x,
11-9071,Gambling Managers,Slots Manager,,
11-9071,Gambling Managers,Table Games Manager,x,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Amusement Park Manager,x,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Boat Club Manager,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Fitness Club Manager,x,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Golf Club Manager,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Marina Club Manager,x,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Skating Rink Manager,x,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Ski Resort Manager,x,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Tennis Club Manager,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",Theme Park Manager,,
11-9081,Lodging Managers,Bed and Breakfast Innkeeper,x,
11-9081,Lodging Managers,Boardinghouse Keeper,,
11-9081,Lodging Managers,Hotel Director,,
11-9081,Lodging Managers,Hotel Manager,x,
11-9081,Lodging Managers,Hotel Operations Manager,,
11-9081,Lodging Managers,Innkeeper,x,
11-9081,Lodging Managers,Lodging Facilities Manager,,
11-9111,Medical and Health Services Managers,Chief Medical Information Officer,x,
11-9111,Medical and Health Services Managers,Clinic Director,x,
11-9111,Medical and Health Services Managers,Clinical Informatics Director,x,
11-9111,Medical and Health Services Managers,Clinical Services Director,,
11-9111,Medical and Health Services Managers,Emergency Medical Service Coordinator,,
11-9111,Medical and Health Services Managers,Health Care Manager,,
11-9111,Medical and Health Services Managers,Health Information Services Manager,x,
11-9111,Medical and Health Services Managers,Health Services Administrator,,
11-9111,Medical and Health Services Managers,Health Services Director,,
11-9111,Medical and Health Services Managers,Healthcare Administrator,,
11-9111,Medical and Health Services Managers,Healthcare Manager,,
11-9111,Medical and Health Services Managers,Hospice Director,,
11-9111,Medical and Health Services Managers,Hospice Plan Administrator,,
11-9111,Medical and Health Services Managers,Hospital Administrator,x,
11-9111,Medical and Health Services Managers,Hospital Director,,
11-9111,Medical and Health Services Managers,Medical and Health Information Manager,,
11-9111,Medical and Health Services Managers,Medical Director,,
11-9111,Medical and Health Services Managers,Medical Records Administrator,x,
11-9111,Medical and Health Services Managers,Mental Health Program Manager,x,
11-9111,Medical and Health Services Managers,Nursing Home Manager,,
11-9111,Medical and Health Services Managers,Nursing Service Director,,
11-9111,Medical and Health Services Managers,Occupational Therapy Director,,
11-9111,Medical and Health Services Managers,Public Health Administrator,,
11-9111,Medical and Health Services Managers,Respiratory Therapy Director,,
11-9111,Medical and Health Services Managers,Speech and Hearing Therapy Director,,
11-9111,Medical and Health Services Managers,Wellness Director,,
11-9111,Medical and Health Services Managers,Wellness Manager,,
11-9121,Natural Sciences Managers,Agricultural Research Director,x,
11-9121,Natural Sciences Managers,Geochemical Manager,,
11-9121,Natural Sciences Managers,Geophysical Manager,x,
11-9121,Natural Sciences Managers,Ocean Program Administrator,x,
11-9131,Postmasters and Mail Superintendents,Postal Supervisor,x,
11-9131,Postmasters and Mail Superintendents,Postmaster,x,
11-9141,"Property, Real Estate, and Community Association Managers",Apartment Manager,x,
11-9141,"Property, Real Estate, and Community Association Managers",Building Rental Manager,x,
11-9141,"Property, Real Estate, and Community Association Managers",Community Association Manager,,
11-9141,"Property, Real Estate, and Community Association Managers",Condominium Association Manager,,
11-9141,"Property, Real Estate, and Community Association Managers",Homeowner Association Manager,,
11-9141,"Property, Real Estate, and Community Association Managers",Land Acquisition Manager,,
11-9141,"Property, Real Estate, and Community Association Managers",Leasing Property Manager,x,
11-9141,"Property, Real Estate, and Community Association Managers",Property Manager,,
11-9141,"Property, Real Estate, and Community Association Managers",Real Estate Manager,,
11-9151,Social and Community Service Managers,Child Welfare Director,x,
11-9151,Social and Community Service Managers,Community Service Director,,
11-9151,Social and Community Service Managers,Community Service Organization Director,,
11-9151,Social and Community Service Managers,Family Service Center Director,x,
11-9151,Social and Community Service Managers,Neighborhood Service Center Director,,
11-9151,Social and Community Service Managers,Social Service Director,,
11-9151,Social and Community Service Managers,Social Services Director,,
11-9151,Social and Community Service Managers,Youth Program Director,x,
11-9161,Emergency Management Directors,Director of Civil Defense,,
11-9161,Emergency Management Directors,Disaster Response Director,x,
11-9161,Emergency Management Directors,Emergency Management System Director,,
11-9161,Emergency Management Directors,Emergency Planner,,
11-9161,Emergency Management Directors,Emergency Planning and Response Manager,,
11-9161,Emergency Management Directors,Emergency Preparedness Coordinator,x,
11-9161,Emergency Management Directors,Emergency Services Director,,
11-9161,Emergency Management Directors,Emergency Services Program Coordinator,,
11-9161,Emergency Management Directors,EMS Director,,
11-9161,Emergency Management Directors,Public Safety Director,x,
11-9171,Funeral Home Managers,Funeral Home Director,x,
11-9171,Funeral Home Managers,Funeral Home Manager,,
11-9171,Funeral Home Managers,Funeral Service Manager,,
11-9179,"Personal Service Managers, All Other",Day Spa Director,x,
11-9179,"Personal Service Managers, All Other",Nail Salon Manager,x,
11-9179,"Personal Service Managers, All Other",Travel Agency Manager,x,
11-9199,"Managers, All Other",Clerk of Court,x,
11-9199,"Managers, All Other",Environmental Control Administrator,,
11-9199,"Managers, All Other",Highway Patrol Commander,,
11-9199,"Managers, All Other",Safety Coordinator,,
11-9199,"Managers, All Other",Social Science Manager,x,
11-9199,"Managers, All Other",Utilities Manager,x,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Artist Manager,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Artist Representative,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Author's Agent,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Band Manager,x,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Booking Agent,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Booking Manager,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Fight Manager,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Literary Agent,x,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Modeling Agent,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Agent,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Talent Manager,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Theatrical Agent,x,
13-1021,"Buyers and Purchasing Agents, Farm Products",Cattle Buyer,,
13-1021,"Buyers and Purchasing Agents, Farm Products",Cotton Broker,x,
13-1021,"Buyers and Purchasing Agents, Farm Products",Cotton Buyer,,
13-1021,"Buyers and Purchasing Agents, Farm Products",Fruit Buyer,x,
13-1021,"Buyers and Purchasing Agents, Farm Products",Grain Buyer,,
13-1021,"Buyers and Purchasing Agents, Farm Products",Hog Buyer,,
13-1021,"Buyers and Purchasing Agents, Farm Products",Livestock Buyer,x,
13-1021,"Buyers and Purchasing Agents, Farm Products",Oyster Buyer,,
13-1021,"Buyers and Purchasing Agents, Farm Products","Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products",,
13-1021,"Buyers and Purchasing Agents, Farm Products",Tobacco Buyer,,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",Gold Buyer,x,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",Merchandise Buyer,x,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",Retail Buyer,,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",Tie Buyer,,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",Wholesale Buyer,,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Equipment, Supplies, and Tools Purchasing Agent",x,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Radio Time Buyer,x,
13-1031,"Claims Adjusters, Examiners, and Investigators",Claims Analyst,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Fire Claims Adjuster,x,
13-1031,"Claims Adjusters, Examiners, and Investigators",Health Claims Examiner,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Health Insurance Adjuster,x,
13-1031,"Claims Adjusters, Examiners, and Investigators",Independent Insurance Adjuster,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Medical Claims Analyst,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Medical Claims Examiner,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Property and Casualty Insurance Claims Examiner,x,
13-1031,"Claims Adjusters, Examiners, and Investigators",Property Damage Claims Adjustor,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Reinsurance Claims Analyst,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Workers Compensation Claims Adjuster,,
13-1031,"Claims Adjusters, Examiners, and Investigators",Workers Compensation Claims Examiner,,
13-1032,"Insurance Appraisers, Auto Damage",Auto Damage Appraiser,,
13-1032,"Insurance Appraisers, Auto Damage",Auto Damage Insurance Appraiser,,
13-1032,"Insurance Appraisers, Auto Damage",Automobile Damage Appraiser,x,
13-1032,"Insurance Appraisers, Auto Damage",Vehicle Damage Appraiser,x,
13-1041,Compliance Officers,Air Pollution Compliance Inspector,,
13-1041,Compliance Officers,Compliance Investigator,,
13-1041,Compliance Officers,Driver's License Examiner,x,
13-1041,Compliance Officers,EEO Officer,,
13-1041,Compliance Officers,Environmental Compliance Inspector,x,
13-1041,Compliance Officers,Equal Employment Opportunity Investigator,,
13-1041,Compliance Officers,Equal Employment Opportunity Officer,x,
13-1041,Compliance Officers,Equal Employment Opportunity Representative,,
13-1041,Compliance Officers,Immigration Investigator,,
13-1041,Compliance Officers,Inspector of Weights and Measures,,
13-1041,Compliance Officers,License Inspector,,
13-1041,Compliance Officers,Mortician Investigator,,
13-1041,Compliance Officers,Wage and Hour Investigator,,
13-1051,Cost Estimators,Construction Estimator,,
13-1051,Cost Estimators,Construction Job Cost Estimator,x,
13-1051,Cost Estimators,Crating and Moving Estimator,x,
13-1051,Cost Estimators,Electrical Estimator,,
13-1051,Cost Estimators,Job Estimator,,
13-1051,Cost Estimators,Production Cost Estimator,x,
13-1071,Human Resources Specialists,Corporate Recruiter,,
13-1071,Human Resources Specialists,Credentialing Coordinator,,
13-1071,Human Resources Specialists,Employee Placement Specialist,,
13-1071,Human Resources Specialists,Human Resources Generalist,x,
13-1071,Human Resources Specialists,Job Placement Officer,,
13-1071,Human Resources Specialists,Job Placement Specialist,,
13-1071,Human Resources Specialists,Job Recruiter,,
13-1071,Human Resources Specialists,Personnel Coordinator,,
13-1071,Human Resources Specialists,Personnel Officer,,
13-1071,Human Resources Specialists,Personnel Recruiter,x,
13-1071,Human Resources Specialists,Personnel Specialist,,
13-1071,Human Resources Specialists,Staffing Coordinator,x,
13-1071,Human Resources Specialists,Student Recruiter,x,
13-1071,Human Resources Specialists,Volunteer Coordinator,x,
13-1074,Farm Labor Contractors,Farm Labor Contractor,,
13-1074,Farm Labor Contractors,Harvesting Contractor,x,
13-1075,Labor Relations Specialists,Employee Relations Specialist,x,
13-1075,Labor Relations Specialists,Industrial Relations Analyst,,
13-1075,Labor Relations Specialists,Industrial Relations Specialist,,
13-1075,Labor Relations Specialists,Labor Relations Consultant,x,
13-1075,Labor Relations Specialists,Labor Relations Representative,,
13-1075,Labor Relations Specialists,Union Representative,x,
13-1081,Logisticians,Logistician,,
13-1081,Logisticians,Logistics Analyst,x,
13-1081,Logisticians,Logistics Coordinator,,
13-1081,Logisticians,Logistics Planner,x,
13-1081,Logisticians,Logistics Specialist,x,
13-1082,Project Management Specialists,Design Project Management Specialists,x,
13-1082,Project Management Specialists,Movie Project Management Specialists,x,
13-1111,Management Analysts,Business Analyst,,
13-1111,Management Analysts,Business Consultant,,
13-1111,Management Analysts,Business Management Analyst,x,
13-1111,Management Analysts,Business Process Consultant,x,
13-1111,Management Analysts,Clerical Methods Analyst,,
13-1111,Management Analysts,Commercial Specialist,,
13-1111,Management Analysts,Industrial Analyst,x,
13-1111,Management Analysts,Management Consultant,,
13-1111,Management Analysts,Records Management Analyst,,
13-1111,Management Analysts,University Institutional Researcher,x,
13-1121,"Meeting, Convention, and Event Planners",Certified Meeting Professional,,
13-1121,"Meeting, Convention, and Event Planners",Conference Organizer,,
13-1121,"Meeting, Convention, and Event Planners",Conference Planner,x,
13-1121,"Meeting, Convention, and Event Planners",Conference Planning Manager,,
13-1121,"Meeting, Convention, and Event Planners",Conference Services Director,,
13-1121,"Meeting, Convention, and Event Planners",Conference Services Manager,,
13-1121,"Meeting, Convention, and Event Planners",Convention Planner,,
13-1121,"Meeting, Convention, and Event Planners",Convention Services Manager,,
13-1121,"Meeting, Convention, and Event Planners",Corporate Meeting Planner,x,
13-1121,"Meeting, Convention, and Event Planners",Event Planner,,
13-1121,"Meeting, Convention, and Event Planners",Events Manager,,
13-1121,"Meeting, Convention, and Event Planners",Wedding Planner,x,
13-1131,Fundraisers,Campaign Fundraiser,x,
13-1131,Fundraisers,Donor Relations Officer,x,
13-1131,Fundraisers,Fundraising Officer,x,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Benefits Analyst,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Compensation Analyst,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Compensation Specialist,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Employee Benefits Specialist,x,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Job Analyst,x,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Job Specification Writer,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Occupational Analyst,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Pension Administrator,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Position Classification Specialist,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Retirement Plan Specialist,x,
13-1151,Training and Development Specialists,Computer Software Training Specialist,x,
13-1151,Training and Development Specialists,Computer Training Specialist,x,
13-1151,Training and Development Specialists,Corporate Trainer,x,
13-1151,Training and Development Specialists,Employee Development Specialist,,
13-1151,Training and Development Specialists,Insurance Employee Trainer,x,
13-1151,Training and Development Specialists,Job Training Specialist,,
13-1151,Training and Development Specialists,Training Coordinator,,
13-1151,Training and Development Specialists,Training Specialist,,
13-1161,Market Research Analysts and Marketing Specialists,Advertising Analyst,x,
13-1161,Market Research Analysts and Marketing Specialists,Market Research Analyst,,
13-1161,Market Research Analysts and Marketing Specialists,Market Research Specialist,x,
13-1161,Market Research Analysts and Marketing Specialists,Marketing Analyst,,
13-1161,Market Research Analysts and Marketing Specialists,Marketing Consultant,x,
13-1161,Market Research Analysts and Marketing Specialists,Marketing Forecaster,x,
13-1161,Market Research Analysts and Marketing Specialists,Marketing Specialist,,
13-1161,Market Research Analysts and Marketing Specialists,Search Marketing Strategist,x,
13-1199,"Business Operations Specialists, All Other",Mystery Shopper,x,
13-1199,"Business Operations Specialists, All Other",Ship Purser,x,
13-2011,Accountants and Auditors,Account Auditor,,
13-2011,Accountants and Auditors,Accountant,,
13-2011,Accountants and Auditors,Auditor,,
13-2011,Accountants and Auditors,Auditor-In-Charge,,
13-2011,Accountants and Auditors,Certified Public Accountant,x,
13-2011,Accountants and Auditors,Cost Accountant,,
13-2011,Accountants and Auditors,CPA,,
13-2011,Accountants and Auditors,Field Auditor,x,
13-2011,Accountants and Auditors,Financial Accountant,,
13-2011,Accountants and Auditors,Financial Auditor,,
13-2011,Accountants and Auditors,Fund Accountant,,
13-2011,Accountants and Auditors,Internal Auditor,x,
13-2011,Accountants and Auditors,Payroll Auditor,,
13-2011,Accountants and Auditors,Tax Accountant,,
13-2022,Appraisers of Personal and Business Property,Estate Appraiser,x,
13-2022,Appraisers of Personal and Business Property,Machinery Appraiser,x,
13-2022,Appraisers of Personal and Business Property,Personal Property Assessor,x,
13-2023,Appraisers and Assessors of Real Estate,Real Estate Appraiser,x,
13-2023,Appraisers and Assessors of Real Estate,Real Estate Assessor,x,
13-2023,Appraisers and Assessors of Real Estate,Real Property Evaluator,,
13-2023,Appraisers and Assessors of Real Estate,Residential Fee Appraiser,,
13-2031,Budget Analysts,Budget Analyst,,
13-2031,Budget Analysts,Budget Coordinator,,
13-2031,Budget Analysts,Budget Examiner,x,
13-2031,Budget Analysts,Budget Officer,x,
13-2031,Budget Analysts,Cost Analyst,x,
13-2041,Credit Analysts,Chief Credit Analyst,,
13-2041,Credit Analysts,Credit Analyst,,
13-2041,Credit Analysts,Credit Assessment Analyst,x,
13-2041,Credit Analysts,Credit Risk Analyst,x,
13-2041,Credit Analysts,Factorer,,
13-2051,Financial and Investment Analysts,Corporate Financial Analyst,x,
13-2051,Financial and Investment Analysts,Corporate Securities Research Analyst,x,
13-2051,Financial and Investment Analysts,Corporate Statistical Financial Analyst,,
13-2051,Financial and Investment Analysts,Institutional Commodity Analyst,x,
13-2051,Financial and Investment Analysts,Organizational Investment Analyst,x,
